#         t          m          x          y          z         vx         vy         vz
   740.0000     0.0001   202.5320    22.3410   193.2540   -89.9132  -272.2570  -132.4740
   740.0000     0.0001   179.7960    85.8721   163.9960   133.2970  -228.0330   -13.6538
   740.0000     0.0001   178.2210    77.0239   156.3020   118.3160  -183.2590    71.6379
   740.0000     0.0001   106.5290   -62.3971    79.5031   -93.8872   -55.8037  -198.0710
   740.0000     0.0001   146.5430   -40.4703   126.1530  -143.3970   -44.7262  -229.7510
   740.0000     0.0001   180.4970    45.0281   152.9600   -19.4408  -314.6160  -123.7690
   740.0000     0.0001   199.9640    11.9536   149.6150    19.9041  -189.6160   -13.6787
   740.0000     0.0001   203.9430   -16.3735   187.6790     4.9156  -249.4390    -5.5710
   740.0000     0.0001   196.1640    68.7373   184.2910   121.3110  -282.4130   170.8210
   740.0000     0.0001   245.9720     6.7097   184.5590   -38.8961  -113.4970   -95.7589
   740.0000     0.0001   181.7180   -71.4441   152.4620   -67.2807   -25.6234  -103.7800
   740.0000     0.0001   126.3640   -65.4624    48.3542   -67.5004   -30.3074  -196.3520
   740.0000     0.0001   203.8440   -22.9136   192.4770   -27.0237  -188.5990   -67.0318
   740.0000     0.0001    86.3249   -17.1954   -17.6243   -21.4491    65.9088   -89.8070
   740.0000     0.0001   175.9610    50.0836   149.2310    74.6950  -347.6060  -111.7210
   740.0000     0.0001   147.4110   165.4230   210.2760    19.5076     9.4637   -11.8449
   740.0000     0.0001   194.8960   -48.1552   172.7390   -40.1169  -125.0640  -118.7560
   740.0000     0.0001   119.3210    92.9631   164.7870    18.5263   102.8960   133.2900
   740.0000     0.0001   179.8760    93.6677   161.9850    81.9245   -84.6634   125.7800
   740.0000     0.0001   210.3230   -85.6238   187.9900   -25.1562   -90.2133   -46.1005
   740.0000     0.0001   207.5390     7.0547   207.1360   -89.3345  -208.9380  -145.4020
   740.0000     0.0001   161.6860   113.6110   175.2510   118.1800   -85.2800    97.5927
   740.0000     0.0001   199.8190   250.3820   142.7490   133.1130    38.4763   130.5150
   740.0000     0.0001   144.1020   114.3520   159.8440   146.4960  -186.4190   -69.2207
   740.0000     0.0001   202.7280   -65.0681   168.2320   -58.3384   -75.2052   -70.0704
   740.0000     0.0001   153.7430   105.4220   141.3660   181.5900  -196.8850    26.4021
   740.0000     0.0001   195.9080     7.9160   144.5170     7.8037  -186.4880   -63.1684
   740.0000     0.0001   129.2160    54.1558   105.9970   172.9790   141.5050   217.3860
   740.0000     0.0001    99.1756    14.1321   -55.6566    59.5594   104.7140    99.8491
   740.0000     0.0001   165.6370   110.4320   138.2730   148.6230    71.7887   201.4510
   740.0000     0.0001   131.9880   105.8560   168.9850   126.3520   -52.5331    99.8296
   740.0000     0.0001   151.8500    80.3020   139.0950    54.7330   115.0140   216.3010
   740.0000     0.0001   161.6540    90.0284   153.8640    91.2523   -15.2987   156.9430
   740.0000     0.0001   216.6940   -98.3307   199.2620   -10.7085  -119.0330   -40.8958
   740.0000     0.0001   177.6160   -38.2285   109.6460  -116.2630    85.1241   -91.7135
   740.0000     0.0001   152.6110   135.7940   104.5410   177.7880   -96.3164   235.7600
   740.0000     0.0001   176.9170   -27.7085   154.8580  -125.0510  -255.8270  -187.7370
   740.0000     0.0001   174.3460   100.1740   163.9260    89.6028   -97.1177   107.7930
   740.0000     0.0001   137.0530    34.0117    93.7300   -27.3973   344.2690    14.5917
   740.0000     0.0001   185.7380    79.5722   170.5210   115.6850  -173.5690    69.8961
   740.0000     0.0001   192.8460    98.0406   155.0660   102.0800   -89.4139   161.8700
   740.0000     0.0001   130.9050   -59.5167    89.3780  -140.5370  -103.4600  -194.0500
   740.0000     0.0001   226.5330   -19.3896   174.5330    24.3513  -187.2440   -80.8655
   740.0000     0.0001   203.6130    24.5683   201.7130   113.1920  -239.5000   151.1690
   740.0000     0.0001   105.7800   114.0430    46.3627   129.9040    41.5127   224.8790
   740.0000     0.0001   193.2800    61.7758   189.9690    32.6289  -371.8250   -90.2830
   740.0000     0.0001   182.5470    25.5422   141.1460    25.6956  -336.5300   -25.6491
   740.0000     0.0001   184.6150    89.5637   168.0080   118.8390   -79.0923   103.5260
   740.0000     0.0001   195.3120   -82.1214   119.5320   -59.8382   -19.4214   -88.7343
   740.0000     0.0001    48.9416    -9.3573   -97.1200    51.6254    71.8417    44.8794
   740.0000     0.0001   174.0320    37.9421   148.7810   -26.4291  -335.3450  -156.8480
   740.0000     0.0001   148.0240    48.5635    97.1221    42.3712   268.1820    23.9400
   740.0000     0.0001   109.9220   -57.5578    37.5598   -60.6393    -7.7584  -184.2140
   740.0000     0.0001   150.8320    56.8509   110.2110    83.4615   260.8530   144.7840
   740.0000     0.0001    68.9354    79.5732   -24.6923   102.5570    71.5985   132.9010
   740.0000     0.0001   145.7760    25.3689    99.2376   -26.2200   341.8590   -43.8002
   740.0000     0.0001   142.4080    34.1056    88.2967   -66.6033   100.1390    -2.1517
   740.0000     0.0001   192.8130    45.4252   154.1080    23.2263  -381.0870    92.4937
   740.0000     0.0001   133.3060   178.7670    68.9265   149.9690   201.0470    77.4856
   740.0000     0.0001   146.8500    -7.2909    90.8202   -76.0796   217.6740   -87.5028
   740.0000     0.0001   220.6510    -7.0944   203.4310    57.9480  -213.3130    37.1018
   740.0000     0.0001   162.3050   117.1210   152.8490    98.6933  -139.6650    96.0482
   740.0000     0.0001   159.8550     8.0638   105.5830  -143.1960   -70.9576  -149.4460
   740.0000     0.0001    86.6427   -28.5921    -4.1987   -34.5551    74.0082   -99.6490
   740.0000     0.0001   212.6440    42.8119   208.3610   -55.8037  -262.0460  -106.6910
   740.0000     0.0001   198.9360    66.2049   170.2610   203.4790  -292.2550   155.0800
   740.0000     0.0001   140.9960   -65.4474    20.5064   -48.1710   -19.3635  -171.5740
   740.0000     0.0001   183.4730     4.6425   103.8730  -153.1710   102.4360  -207.1630
   740.0000     0.0001   182.4110    71.4633   155.1180    55.7488  -206.3900    88.0670
   740.0000     0.0001   170.5560   -19.1834    75.4179   -79.6205   142.4900   -77.1446
   740.0000     0.0001   144.6320    28.6186    91.0689   -45.8721   332.8060     6.9193
   740.0000     0.0001   202.1420    51.7637   188.5130   166.1130  -277.2900   104.2160
   740.0000     0.0001   144.0490    34.7569    91.7392    -1.2339   317.1540    35.1882
   740.0000     0.0001   178.6440   122.0740   154.1510    98.3350   -68.3561    93.3583
   740.0000     0.0001   194.6050    34.1269   156.0760   -97.9562  -198.7960  -124.3710
   740.0000     0.0001   149.0830    49.6179   105.8090    10.4357   267.8940   106.1280
   740.0000     0.0001   201.6550   -14.7247   221.1710    10.6630  -126.9910   -85.7281
   740.0000     0.0001   225.6320   -44.8696   192.9690   -25.1539  -119.5640   -69.5983
   740.0000     0.0001   123.6050   -65.9519    54.5937   -93.7586   -27.4468  -202.3240
   740.0000     0.0001    18.3271    11.3064    81.1702   -21.7162   -32.6725    16.6707
   740.0000     0.0001   177.2060   -57.9614   120.7500   -89.0843    55.5654   -72.3183
   740.0000     0.0001   138.8960    32.2474    96.2480   -15.7517   335.8580    26.3941
   740.0000     0.0001   173.0660   101.1040   150.4730   243.7210  -191.2140   226.3000
   740.0000     0.0001   140.4990    20.2035    97.8493   -37.4651   319.5900   -17.6613
   740.0000     0.0001   177.2300    35.0738   147.0400    -5.4040  -324.7610  -169.6710
   740.0000     0.0001    89.8983    12.2716     1.8407    31.2163   124.0180     0.9156
   740.0000     0.0001   172.3230    20.2814   138.4380   -91.4674  -197.5750  -247.9670
   740.0000     0.0001   160.5880    21.9270   107.2490  -216.7390    14.0278  -196.4750
   740.0000     0.0001   172.6040    80.3960   158.3060   112.3220  -281.6230     3.6206
   740.0000     0.0001    97.8101   115.5900    26.5371   132.2600    47.0841   192.7070
   740.0000     0.0001   179.7750   -49.2951   125.8580   -97.3752    36.0961  -116.0300
   740.0000     0.0001    91.6990    57.2517    -6.5612    41.0608   116.0390   -25.2555
   740.0000     0.0001   180.1970    83.3048   148.9940    72.1894  -153.8040   113.1340
   740.0000     0.0001   137.4080     2.3929    96.1520   -74.6695   249.7160   -64.4452
   740.0000     0.0001   201.1350    66.3851   200.0440     0.9400  -314.9030   -66.3262
   740.0000     0.0001   137.8340   -90.8916    73.0679   -74.0884   -83.2810  -134.3200
   740.0000     0.0001   148.0140    49.1220   106.7240    31.7560   315.0690   102.8000
   740.0000     0.0001   171.5600    86.9067   135.4310   188.3680    59.4078   175.1040
   740.0000     0.0001   144.0270    27.5009    97.5455  -107.3120   345.2150   -15.0855
   740.0000     0.0001   143.9570    48.1031   107.0140    -1.3116   331.0960    41.9821
   740.0000     0.0001    89.6768    59.8265    -4.6503    39.5643   118.8720   -18.0706
   740.0000     0.0001   224.6180     9.5305   214.2190     4.3819  -145.8830   -58.0400
   740.0000     0.0001   147.9670    44.5102   106.8270    43.3846   340.9020    10.7914
   740.0000     0.0001   139.7870    32.6467    93.0206   -89.9001   318.2880    50.5118
   740.0000     0.0001   187.8350    -7.7940   152.8850   -45.6048  -280.8870  -254.6940
   740.0000     0.0001   122.1800   -91.3590    77.5842   -41.2239   -63.8269  -177.5020
   740.0000     0.0001   155.2990    15.7029   108.2840  -182.1310    15.3148  -178.8610
   740.0000     0.0001   144.5510  -109.4380   112.8930   -84.0680  -134.7040  -135.8040
   740.0000     0.0001   217.0080   -33.8472   175.4890    28.4534  -210.8200   -24.0938
   740.0000     0.0001   148.2920    46.3517   106.1420    25.4653   318.9420   107.0070
   740.0000     0.0001   241.9040   199.0000   222.6270    47.5622  -150.3390    88.1493
   740.0000     0.0001    92.4969   -15.7579   -11.4500   -44.5635    71.0690   -87.1064
   740.0000     0.0001   165.0100   103.9740   153.5450   111.8810  -122.0040    37.1590
   740.0000     0.0001   167.7070     5.9442   202.1300    87.7675   -21.9619   231.0250
   740.0000     0.0001   186.7940   234.9080   123.3700   187.4680    30.4591    78.7474
   740.0000     0.0001   185.9220    62.0025   162.0620    58.1145  -201.8580    96.5576
   740.0000     0.0001   182.9240    34.9124   156.9380   -34.8954  -231.0470   -46.1207
   740.0000     0.0001   185.8140    93.2324   165.5640   100.6670   -94.5973    88.4573
   740.0000     0.0001    93.2099    35.6073    18.3824   144.8860   143.4070   132.3450
   740.0000     0.0001   189.5690    62.9503   163.8930    -8.6943  -260.6110     1.6940
