#         t          m          x          y          z         vx         vy         vz
   305.0000     0.0001  -126.6870   109.4940   -64.8232  -227.6050   158.8330    -4.5447
   305.0000     0.0001  -125.8090   125.4220   -55.5920  -180.0250   208.1290    10.3626
   305.0000     0.0001   -87.9559   125.1200   -52.6098   -40.4733   158.4430   -31.6016
   305.0000     0.0001  -123.5460   117.9440   -57.2871  -146.9090   142.6700    19.9157
   305.0000     0.0001  -125.0310   123.1490   -56.0353  -165.8040   170.6720    45.7344
   305.0000     0.0001  -126.6190   114.3120   -60.1308  -215.9830   189.0340     2.7723
   305.0000     0.0001   -84.7979   142.9990   -47.2771    69.0553   135.2730   -41.6113
   305.0000     0.0001  -123.7450   124.2430   -54.5992  -161.6760   173.0650    48.4093
   305.0000     0.0001   -88.4646   133.5950   -55.4716   -47.8118   162.4100   -73.2184
   305.0000     0.0001   -88.4057   135.5440   -55.0615   -55.5655   163.0110   -58.1855
   305.0000     0.0001  -121.8610   118.2440   -53.7875  -156.6300   144.5040    32.0735
   305.0000     0.0001  -121.1190   118.4980   -64.8395  -217.1350   183.2440     6.9017
   305.0000     0.0001  -123.3870   119.5990   -53.4478  -136.2670   144.2380    54.1790
   305.0000     0.0001   -89.1412   137.4900   -53.2521   -42.5201   163.4830   -45.4979
   305.0000     0.0001  -119.0700   104.6250   -56.3943  -187.4490   187.4920   -13.9742
   305.0000     0.0001  -122.8800    94.7790   -56.4557  -216.5950   138.8280    -9.2166
   305.0000     0.0001   -88.5427   140.2570   -51.5664   -18.9287   160.3670   -38.3505
   305.0000     0.0001   -93.5371   138.2550   -49.5012   -36.2533   160.3920   -22.3282
   305.0000     0.0001   -76.4852   153.1530   -47.9169   120.7020   147.8780   -38.0285
   305.0000     0.0001  -125.8090   125.4220   -55.5920  -180.0250   208.1290    10.3626
   305.0000     0.0001  -123.7660   122.4450   -55.4932  -167.2780   144.8350    39.5291
   305.0000     0.0001   -93.0757   139.8870   -48.8972   -37.6119   159.7720   -46.6069
   305.0000     0.0001  -124.0590   126.7950   -58.6447  -145.5100   180.3370     7.5868
   305.0000     0.0001   -86.5559   134.4520   -52.8511   -12.6481   157.7180   -78.1766
   305.0000     0.0001  -122.2510   115.0210   -56.8623  -158.2360   146.6840    20.3754
   305.0000     0.0001  -121.6860   109.8480   -58.1501  -116.6590   139.5350    37.1346
   305.0000     0.0001  -127.0100   119.4600   -66.9222  -194.4780   165.1530     2.9603
   305.0000     0.0001   -86.3267   131.4220   -57.0792   -46.9260   163.4500   -40.5050
   305.0000     0.0001  -125.1420   105.2800   -60.5957  -221.6850   148.3780    25.7260
   305.0000     0.0001  -128.0690   111.1640   -62.6051  -211.3800   163.6740     0.1095
   305.0000     0.0001  -122.2320   118.5130   -56.1538  -136.0340   149.7500    23.2938
   305.0000     0.0001   -93.8636   139.2720   -49.3289   -21.8540   160.9690   -30.3709
   305.0000     0.0001   -83.9121   139.7070   -51.8331    43.0935   139.4430   -67.9402
   305.0000     0.0001   -88.5190   131.4260   -56.8350   -55.2470   161.0070   -70.7603
   305.0000     0.0001   -90.2708   134.4190   -56.0341   -80.0218   145.9590   -50.3741
   305.0000     0.0001  -111.6290   107.3500   -50.4813  -197.9220   158.9790    -4.8452
   305.0000     0.0001  -124.3670   117.0990   -56.7151  -175.5190   168.0990    45.9151
   305.0000     0.0001   -89.6126   134.9420   -57.8590   -72.2823   158.9880   -65.9440
   305.0000     0.0001   -88.2307   133.1260   -53.1358   -53.6671   159.8480   -40.7142
   305.0000     0.0001  -124.5140   119.5950   -57.9451  -169.7930   133.5300    31.0250
   305.0000     0.0001  -124.9780   121.6340   -59.6094  -185.8340   194.1510    31.9876
   305.0000     0.0001   -92.0288   137.0320   -55.0764   -92.3566   152.6740   -45.8676
