#         t          m          x          y          z         vx         vy         vz
   315.0000     0.0001  -134.6400   144.5450   -47.7136   -16.1371   182.6920    26.6223
   315.0000     0.0001   -88.2595   148.5230   -66.2772    52.6565   113.4970   -16.3683
   315.0000     0.0001   -85.8373   149.9420   -62.5762    64.8799   128.0560   -22.4290
   315.0000     0.0001   -90.2034   155.0280   -62.8016    23.8407   127.6340     6.7438
   315.0000     0.0001   -86.2567   146.9820   -61.5719    73.6632   106.8520   -27.7107
   315.0000     0.0001  -134.7280   144.6160   -49.3327   -35.9538   196.0150    67.2376
   315.0000     0.0001  -135.1290   145.1670   -49.1037   -37.4727   184.9000    69.6045
   315.0000     0.0001   -86.6477   142.8690   -60.1249    71.7551   104.3380     9.6094
   315.0000     0.0001   -82.0914   155.7620   -56.5393    95.3527   121.3800   -37.3753
   315.0000     0.0001  -137.7270   145.1490   -50.2954   -56.0416   193.0160    76.6736
   315.0000     0.0001   -89.7860   149.3040   -55.1613    68.9335   110.1860   -48.0002
   315.0000     0.0001  -133.3490   147.7470   -48.4271   -18.2909   180.6280    47.3875
   315.0000     0.0001   -65.8699   157.8390   -54.8392   164.3190    74.8691     5.5846
   315.0000     0.0001   -83.3035   159.5410   -59.3849    60.4909   135.9800    -3.8177
   315.0000     0.0001   -92.1923   144.1880   -59.5464    31.2615   100.7610     4.3392
   315.0000     0.0001   -90.2286   151.0150   -64.5090    55.0083   100.5850   -32.7454
   315.0000     0.0001   -87.0659   152.5590   -58.9827    52.1421   133.5820     2.9127
   315.0000     0.0001  -152.0630   127.0860   -65.4337  -169.5510   190.6490     8.4427
   315.0000     0.0001  -134.8210   145.9670   -46.4200   -12.8437   172.1760    53.6653
   315.0000     0.0001  -150.9580   137.0910   -64.8944  -126.8370   174.9300    43.5188
   315.0000     0.0001   -90.6368   148.6160   -60.1712    41.6108   134.8340   -15.7813
   315.0000     0.0001  -136.0380   131.3800   -60.4810   -60.3945   177.8380    13.6756
   315.0000     0.0001   -89.7177   154.8310   -53.6315    65.2693   110.9980   -12.7177
   315.0000     0.0001   -85.7615   149.3470   -58.0623    47.5318   135.6060    25.0755
   315.0000     0.0001   -59.6302   185.4730   -46.0714   139.7830   109.9160    24.0121
   315.0000     0.0001   -82.0508   160.1850   -55.3689    75.1678   123.3490     2.6600
   315.0000     0.0001   -66.9393   156.5190   -55.0958   153.2870    95.1553     5.3349
   315.0000     0.0001  -129.3710   135.9050   -53.2949   -35.9492   203.8100    31.5538
   315.0000     0.0001  -148.9440   145.8630   -56.2091   -81.5806   169.8940    35.0918
   315.0000     0.0001  -148.3970   139.3760   -60.4573   -92.4761   180.3270    47.1113
   315.0000     0.0001   -83.9404   152.3270   -55.2564    87.8033   123.5100   -18.7266
   315.0000     0.0001  -129.8990   134.4690   -51.2403    -0.7141   198.8200    54.4004
   315.0000     0.0001   -87.8829   152.4130   -58.8523    51.8805   127.1680    -7.1382
   315.0000     0.0001   -57.2588    25.9308   -83.2478  -118.1420  -246.9890  -200.9590
   315.0000     0.0001  -138.2670   152.7880   -50.6442   -49.8729   189.0260    38.4559
   315.0000     0.0001  -138.2140   138.1640   -62.3341   -50.5868   170.0790    32.3127
   315.0000     0.0001   -79.7071   153.7230   -53.7230   113.0120   110.9610   -27.1505
   315.0000     0.0001   -84.6096   154.5260   -59.6322    83.2554   116.9350   -28.4694
   315.0000     0.0001  -132.7920   136.4040   -57.2236   -89.7392   218.3510    67.0512
   315.0000     0.0001  -132.2120   135.2700   -59.1529   -44.9014   181.7970    41.4943
   315.0000     0.0001   -86.1316   153.3700   -57.8800    84.7379    83.0779   -13.3035
   315.0000     0.0001   -88.8677   154.0530   -59.8803    32.4757   129.1680    12.7856
   315.0000     0.0001  -151.8680   127.5280   -57.3546  -159.5620   190.6390    28.5747
   315.0000     0.0001  -135.7300   142.6620   -51.6933   -19.2269   188.3670    42.4536
   315.0000     0.0001   -91.9630   152.1750   -59.7550    18.6275   139.6580    -4.7612
   315.0000     0.0001  -151.0480   126.5540   -60.4740  -158.1990   176.0690    38.8966
   315.0000     0.0001   -85.7615   149.3470   -58.0623    47.5318   135.6060    25.0755
   315.0000     0.0001   -90.7487   146.3280   -59.1449    20.9386   124.9090    52.5662
   315.0000     0.0001  -136.9240   140.3160   -50.8757   -46.0423   171.0850    49.1220
   315.0000     0.0001   -90.0582   146.7520   -62.9881    45.2905   130.9320   -13.3354
   315.0000     0.0001   -91.8522   147.3020   -60.3496    26.9180   132.6410    -5.9032
   315.0000     0.0001  -136.9240   140.3160   -50.8757   -46.0423   171.0850    49.1220
   315.0000     0.0001   -90.6553   155.4920   -55.6605    32.8887   155.3600    12.0253
   315.0000     0.0001   -89.5737   151.1920   -64.5681    37.2375   108.4220     5.2795
   315.0000     0.0001   -89.9657   149.2500   -61.8620    60.7277   103.8120   -28.1550
   315.0000     0.0001   -84.2056   153.9850   -60.2267    70.4284   126.8070    -4.7958
   315.0000     0.0001   -78.4182   148.7580   -57.0950   113.8540   139.3970    -5.7552
   315.0000     0.0001   -83.5145   154.3380   -53.2415    75.2505   122.1350    34.2338
   315.0000     0.0001   -86.5544   152.1950   -55.4356    92.8128    98.3326   -28.6446
   315.0000     0.0001   -89.7470   151.9040   -58.7008    55.9115   136.9500   -14.5589
   315.0000     0.0001  -135.2470   142.8110   -49.8601    -8.8861   170.6460    40.2883
   315.0000     0.0001   -80.5330   148.3890   -53.8837   121.1690   103.8260   -31.2197
   315.0000     0.0001  -136.4670   148.2380   -48.0682   -20.8877   178.0630    49.8933
   315.0000     0.0001   -70.4439   163.8180   -49.4071   134.7250   112.9200    28.6745
   315.0000     0.0001  -141.9940   153.9790   -49.9846   -62.1289   212.1530    43.7893
   315.0000     0.0001  -133.5710   144.1490   -49.2403   -27.2158   185.8820    39.5335
   315.0000     0.0001   -78.7277   161.1460   -55.5027    97.2582   142.0370    -7.4723
   315.0000     0.0001  -136.9810   142.7170   -49.5998   -44.5413   192.0980    54.8477
   315.0000     0.0001   -92.6217   156.9320   -64.5338    21.5879   112.8970    -6.1653
   315.0000     0.0001   -91.2851   157.1420   -57.6997    23.0839   142.5010    -0.4130
   315.0000     0.0001   -91.2012   152.7180   -57.7757    14.2367   133.7600    30.1326
