#         t          m          x          y          z         vx         vy         vz
   355.0000     0.0001   -31.2330   197.5490   -22.6074   127.2450    63.2542   123.0290
   355.0000     0.0001   -33.3019   217.2020   -24.8414   201.2030    67.4173   123.5430
   355.0000     0.0001   -39.6074   200.7610   -20.9607   124.8620    80.0578   133.8750
   355.0000     0.0001   -62.6413   224.4330   -16.9534   173.0030   172.8310    90.0008
   355.0000     0.0001   -45.2318   251.0440   -19.4897   303.0310   116.6590    94.0064
   355.0000     0.0001   -36.0540   252.3310   -21.6207   275.9310    99.6701    85.0198
   355.0000     0.0001  -166.8390   249.8310   -42.8169    67.0720   183.5770    56.8327
   355.0000     0.0001   -45.1183   247.1840   -12.2463   260.7030   151.3930    77.9127
   355.0000     0.0001  -174.7300   235.3040   -28.8609    47.8764   185.8510    64.7938
   355.0000     0.0001   -35.7004   193.1280   -20.7212   124.3380    47.9110   127.8070
   355.0000     0.0001   -51.9020   210.7600   -30.9557   139.8960   124.6230   137.6610
   355.0000     0.0001   -97.5091   272.8300   -22.7807   183.6890   172.8150    67.9519
   355.0000     0.0001  -153.0900   236.6440   -41.5747    84.8674   200.4870    43.1281
   355.0000     0.0001   -31.6309   184.5250   -33.4965   142.5380    21.2773    98.8777
   355.0000     0.0001   -53.3140   206.3540   -26.7996   174.2650   132.3640   110.0780
   355.0000     0.0001  -104.8400   237.9030   -32.6640   178.9590   167.5550    70.8200
   355.0000     0.0001   -47.6251   207.5830   -24.1746   136.4750   124.0650   124.7780
   355.0000     0.0001   -23.2603   207.2460   -17.1136   126.9250    96.4788   134.3080
   355.0000     0.0001    13.9386   168.9010   -23.9285    65.3148   -27.7475    95.7068
   355.0000     0.0001   -64.4631   232.3690   -23.1278   179.6150   178.3180    73.2083
   355.0000     0.0001   -51.2018   208.0230   -23.5759   118.2910   113.4210   107.2570
   355.0000     0.0001   -39.8521   195.9320   -27.7844   149.2120    79.4728   125.9230
   355.0000     0.0001   -21.5546   181.2280   -16.1803   123.2760     3.2067    99.5414
   355.0000     0.0001   -64.8172   280.4560   -16.2327   231.0010   181.6120    74.1846
   355.0000     0.0001    -4.1523   198.3370   -22.6996    97.3664    38.9835   135.5280
   355.0000     0.0001   -12.1408   198.2430   -20.9199   117.1080    51.8314   120.9160
   355.0000     0.0001    18.2781   137.5660   -27.5593    23.9068   -98.7540    68.5807
   355.0000     0.0001   -56.4006   249.2220   -22.9468   237.0880   131.3890    95.5545
   355.0000     0.0001   -21.7855   201.0040   -18.4794   112.4610    54.3374   132.7850
   355.0000     0.0001   -12.5823   179.7830   -26.3013   122.3180    -9.9993   102.3680
   355.0000     0.0001   -25.6650   183.2240   -31.2144   133.3110     5.8094   121.3290
   355.0000     0.0001     5.1379   199.9110   -14.8026    90.8140    53.5676   108.5620
   355.0000     0.0001   -39.1707   254.9020   -17.5475   283.9850   107.0480    94.6276
   355.0000     0.0001   -25.0729   181.3310   -28.7380   135.8790     7.5691   101.6760
   355.0000     0.0001   -44.4340   193.7620   -25.7478   127.3480    56.0900   100.1370
   355.0000     0.0001   -68.4539   260.6970    -7.1401   246.5010   175.5150    83.0375
   355.0000     0.0001    15.0051   191.7870   -10.6298    53.8047    30.4637   102.0990
   355.0000     0.0001   -31.9530   192.2230   -25.9735   127.6410    38.2415   116.2520
   355.0000     0.0001   -11.8955   148.4190   -28.6595   144.0250   -93.1184    80.2431
   355.0000     0.0001   -78.0330   239.6930   -20.5669   241.1880   146.1320    98.7491
   355.0000     0.0001   -25.5540   220.3760   -19.6170   113.2420    91.6686   133.3930
   355.0000     0.0001   -56.4006   249.2220   -22.9468   237.0880   131.3890    95.5545
   355.0000     0.0001   -25.5220   196.2420   -18.0558   123.3020    55.5831   119.6150
   355.0000     0.0001    11.5283   120.6280   -21.0858    42.5267  -132.4130    44.4293
   355.0000     0.0001  -185.1480   243.1250   -45.6680    26.4855   197.3740    52.3093
   355.0000     0.0001   -11.5061   188.2090   -19.8150   112.4650    19.5585   136.0020
   355.0000     0.0001   -42.7547   253.4070   -17.1496   282.7100   103.0180    75.8236
   355.0000     0.0001   -42.3716   212.4080   -18.2423   108.3300   119.2210   103.6350
   355.0000     0.0001   -17.3485   168.1930   -19.4778   128.5390   -40.0146   111.4390
   355.0000     0.0001  -116.3440   243.1780   -23.8551   160.8770   153.8700    56.0406
   355.0000     0.0001   -63.9456   250.6780   -15.0284   269.3860   148.1670    71.6754
   355.0000     0.0001   -53.5672   207.2220   -26.8193   142.6790   115.7020   120.2390
   355.0000     0.0001   -28.6109   173.2800   -28.3607   163.1320    -1.8726   113.3090
   355.0000     0.0001   -56.4617   249.6480   -14.0526   283.4550   134.6780    69.0128
   355.0000     0.0001   -38.6175   247.8830   -15.7533   247.2650   121.7360    74.3239
   355.0000     0.0001  -190.2410   236.4810   -48.2329    25.1458   184.8690    48.0717
   355.0000     0.0001   -47.4630   260.0320   -15.0105   270.6590   111.1200    85.7153
   355.0000     0.0001   -67.7028   253.0500   -18.5983   258.6770   161.3420    72.8857
   355.0000     0.0001   -45.0297   256.6940   -21.5451   288.1160   135.8290    94.1583
   355.0000     0.0001    -8.1007   181.6650   -23.4509   114.8260    -1.6606   112.2960
   355.0000     0.0001   -38.2817   194.0830   -18.1327   154.0870    81.0700   132.1090
   355.0000     0.0001   -38.7103   194.4340   -23.3982   137.0590    67.7823   119.8430
   355.0000     0.0001     3.1164   199.4820   -20.2987    83.0839    24.3514   135.9900
