#         t          m          x          y          z         vx         vy         vz
   475.0000     0.0001    23.2728   107.4940     6.9967    19.3893   186.9070  -178.3980
   475.0000     0.0001    14.2917   117.1190   -10.1030    13.4769   222.4920   -99.4828
   475.0000     0.0001    26.9420   127.6940    -4.4125   -13.1830   248.4770  -174.2530
   475.0000     0.0001    18.1018    91.5704    -6.7016  -156.4390   172.4120  -225.7640
   475.0000     0.0001    22.3098    85.7892     3.3144   -68.4220   214.2340  -178.4170
   475.0000     0.0001   140.0020    53.9846   170.3970   -32.5234  -117.4140   -40.0785
   475.0000     0.0001    26.3281    79.6716    23.1187  -161.0700   110.6310  -285.1490
   475.0000     0.0001    11.1293    87.6257     0.1934  -145.4220   208.4610  -207.9830
   475.0000     0.0001    13.0632    89.7046    -7.0572  -152.7870   188.6570  -236.4430
   475.0000     0.0001   172.2980    49.2967   201.8530     9.7717  -128.8530    -3.0564
   475.0000     0.0001   128.2640    33.1437   170.6240   -40.9268  -104.9230   -35.3951
   475.0000     0.0001    19.1349    57.2361    48.5300   -93.9661     1.4902  -267.5440
   475.0000     0.0001     5.3504   146.9380   -39.0463   -77.3686   144.8300   -59.5143
   475.0000     0.0001     7.0602    86.7048     4.0429   -41.2350   160.2320  -292.5570
   475.0000     0.0001    25.2558    76.4719     2.1604   -72.4980   156.6150  -194.3630
   475.0000     0.0001    23.6564    82.4838    -3.2515  -104.7980   111.4030  -243.0340
   475.0000     0.0001    19.1256   108.6180    -3.3850     3.2478   181.1910  -126.1470
   475.0000     0.0001    21.6398    69.5365    10.9281   -71.1399   133.0680  -231.5110
   475.0000     0.0001    98.6825    47.2195   133.1510   -82.5166  -114.7050   -89.7412
   475.0000     0.0001    12.6221   106.4920    -0.8760    -9.2114   170.3550  -130.8170
   475.0000     0.0001   167.1490    52.2557   203.7920    -3.7574  -132.9720     4.0571
   475.0000     0.0001    20.0500    84.9299    -3.3711  -157.2770   180.9460  -243.5930
   475.0000     0.0001   103.4090    32.2983   132.5500   -92.1480  -136.2710   -61.3156
   475.0000     0.0001   162.3290    16.8227   195.6150    -0.7695  -136.6840    -0.6913
   475.0000     0.0001   151.3260    32.6531   188.9530   -27.8345  -142.4220     4.8481
   475.0000     0.0001    18.8983   111.0900    -7.6924   -31.3484   217.7600  -196.2430
   475.0000     0.0001    17.7308    87.4029    -2.8862  -146.9600   157.1820  -164.2920
   475.0000     0.0001   108.0620    46.4013   113.2220   -67.4024   -86.2595  -123.3500
   475.0000     0.0001    -7.6596   162.0850   -49.4142    29.6021     8.4051    76.6692
   475.0000     0.0001    18.9693   120.4940    -3.7629   -14.2313   221.0410  -102.6920
   475.0000     0.0001    13.3468    97.7673    -4.9052   -93.2826   147.3910  -155.1350
   475.0000     0.0001    28.3208    88.9209     3.3210  -160.6500   175.3620  -265.2600
   475.0000     0.0001    24.7499    86.4660     4.4912  -143.4140   167.0720  -301.0970
   475.0000     0.0001    20.3466    85.0100    -2.2647   -83.1587   171.4150  -180.4830
   475.0000     0.0001    13.9652   122.2650     0.8048    27.1032   241.8600  -105.4680
   475.0000     0.0001    22.0776   114.5540    -9.1378   -32.7511   196.7090  -166.0530
   475.0000     0.0001   175.1460    44.7896   231.6680    19.3366  -128.5560    24.4188
   475.0000     0.0001   113.0350    14.5969   147.2330   -59.4594  -115.8240   -50.8967
   475.0000     0.0001    27.9137   108.5190     2.6720    -3.5937   185.4340  -199.6500
   475.0000     0.0001    15.7906   105.6860    -9.3303   -86.3636   187.8590   -89.4183
   475.0000     0.0001    21.6620    80.3948    -2.2674  -141.9790   127.2970  -240.0210
   475.0000     0.0001    29.3859    99.7106    -2.4041   -24.1363   205.5140  -261.9250
   475.0000     0.0001    25.2177    89.6988    18.2608  -107.3540   126.4180  -317.2130
   475.0000     0.0001    13.7648    87.0014     2.3095   -59.4951   217.4620  -209.1370
   475.0000     0.0001    13.2426    82.1256     8.1621  -112.9080   163.1180  -252.5340
   475.0000     0.0001    24.5742    92.0700    -6.1368   -93.2082   188.7540  -131.5650
   475.0000     0.0001    23.9108   118.8820     4.3823    31.2420   247.2290  -183.8670
   475.0000     0.0001    20.4551   108.2950     3.1349   -60.8895   159.1960  -247.0250
   475.0000     0.0001    88.2784    51.5594   109.7020  -114.4120   -77.1399  -109.6900
   475.0000     0.0001   134.8390    57.2899   170.2510   -41.9686  -123.7670   -38.9903
   475.0000     0.0001    31.1380    60.5786    12.3806  -161.3660    47.3806  -255.8330
   475.0000     0.0001    16.6978    79.3666     4.5424  -112.4400   157.0860  -233.6980
   475.0000     0.0001    17.8253    95.0106   -10.0078  -134.9320   182.0140  -254.7020
   475.0000     0.0001    77.8969     5.8881   163.3700   -59.4948  -119.1070   -48.8401
   475.0000     0.0001    19.5202    81.8764     1.2180  -132.8080   135.9790  -129.2390
   475.0000     0.0001    15.6403   126.4420   -17.9699   -75.9343   205.4730   -83.9670
   475.0000     0.0001   145.8590    24.4177   171.5740   -30.0761  -123.8020   -22.6251
   475.0000     0.0001     8.3672   170.1020   -11.0323     1.9221   196.3630    27.8315
   475.0000     0.0001     8.5876    97.1128     5.1334   -33.3826   213.7280  -195.3540
   475.0000     0.0001   -41.6948   169.9560   -55.4497     7.2603    45.5445    53.3786
   475.0000     0.0001    87.9830    54.1690   147.6710   -76.6316  -105.4350   -89.4694
