#         t          m          x          y          z         vx         vy         vz
   365.0000     0.0001    -1.2798   236.7650    -3.2063   251.2540    49.3060   221.8480
   365.0000     0.0001    -7.2332   259.9850    -2.4977   270.3670     4.9489   190.4170
   365.0000     0.0001   -18.2485   235.4400    -1.4012   219.1090   169.4420   214.9860
   365.0000     0.0001    -2.8878   243.1820    14.5356   221.2630    70.0891   327.7380
   365.0000     0.0001    -3.6005   222.8120     0.9273   108.0160   150.5180   223.1620
   365.0000     0.0001   -23.3934   249.6520    -0.6226   287.6850   112.3420   202.0610
   365.0000     0.0001   -20.9615   238.7770    -2.4661   279.4250   149.1860   226.4680
   365.0000     0.0001   -12.6830   234.5910    -1.4037   181.8810   144.4650   221.4030
   365.0000     0.0001   -25.2248   246.0770    -3.1046   270.7890   157.0140   219.0330
   365.0000     0.0001   -19.7338   281.1150     2.3576   315.9650    79.3166   131.7290
   365.0000     0.0001   -16.2147   220.5730     2.8877   154.0010   151.5860   186.9580
   365.0000     0.0001   -26.7913   249.3250    -2.5934   279.1380   140.3740   212.5770
   365.0000     0.0001    -1.4339   250.3290    -3.4432   219.3390    37.0653   199.9270
   365.0000     0.0001   -23.1789   243.9360     1.0670   282.3300   157.0670   221.2470
   365.0000     0.0001    -3.5654   241.4950    -9.9122   232.1490    -5.7294   191.9210
   365.0000     0.0001    -1.8968   244.9610    -6.4417   203.5480    91.5788   183.2080
   365.0000     0.0001   -27.6178   257.7090    -3.6737   356.6520    95.0639   125.7180
   365.0000     0.0001   -14.7394   263.4930    -2.0241   356.6640    39.5990   116.9350
   365.0000     0.0001   -23.8117   247.8380    -5.5529   253.2070   134.6710   210.0090
   365.0000     0.0001   -25.1927   243.9070    -1.7408   229.7540   150.5310   232.4910
   365.0000     0.0001     4.2615   196.3890    -4.8289    87.9440    46.1251   152.5070
   365.0000     0.0001    -6.2803   256.4030    -5.5651   321.7630    57.6881   208.5320
   365.0000     0.0001    -6.8671   255.5350     0.9326   291.4270   -23.5497   203.1620
   365.0000     0.0001   -23.5573   241.6450    -4.2047   269.8720   149.8780   201.2690
   365.0000     0.0001    -9.2391   233.8350    -9.8754   179.5080    69.2761   227.3680
   365.0000     0.0001   -22.7842   245.8910    -4.2142   289.9730    96.8717   188.2070
   365.0000     0.0001   -14.5594   243.7610   -11.9845   182.5380   103.1480   239.8820
   365.0000     0.0001     2.5484   156.3030   -15.8490   109.1750   -65.7014   102.6530
   365.0000     0.0001   -26.3690   236.8280    -6.9120   246.0020   134.3570   203.4400
   365.0000     0.0001   -24.0276   235.8200    -8.0477   212.1120   132.5830   205.9630
   365.0000     0.0001   -19.5383   231.3530   -16.2639   200.6710    83.9731   189.2510
   365.0000     0.0001   -21.4801   244.0510     1.1429   229.3940   180.4550   245.5640
   365.0000     0.0001     4.2446   160.2640   -13.8743    95.9638   -55.8351   103.0190
   365.0000     0.0001    -4.9277   181.6190    -8.3809   125.4390    12.1890   150.4130
   365.0000     0.0001   -24.1391   245.5410    -3.5120   291.4130   171.1270   214.4980
   365.0000     0.0001    14.2830   210.0820     3.4276    28.3534    96.9161   149.6260
   365.0000     0.0001    -5.9335   172.0600   -11.2205   150.8640   -10.7814   125.8450
   365.0000     0.0001   -18.6631   271.8080    -4.3049   331.5680    70.1154   128.5390
   365.0000     0.0001   -17.4357   235.5720    -1.0619   210.0320   107.7240   239.0140
   365.0000     0.0001   -17.5913   238.4020   -10.8014   242.9870   150.8200   214.9180
   365.0000     0.0001   -24.2054   248.9470     3.9861   297.2640   177.5260   205.7290
   365.0000     0.0001    -0.0897   242.9200    -7.4023   250.1190     2.8270   220.9350
   365.0000     0.0001   -20.0480   235.4850    -2.2836   241.3150   122.9880   233.9220
   365.0000     0.0001    -5.2526   249.3780     7.7552   181.7090    88.8839   231.0270
   365.0000     0.0001   -17.2754   232.4980    -5.3833   193.0280   144.6650   210.3200
   365.0000     0.0001     5.7635   251.3150     6.6701   200.9420   -13.9181   259.4120
   365.0000     0.0001   -31.3197   246.3480     2.6312   285.5390   156.2120   159.7750
   365.0000     0.0001   -27.0065   242.6320    -7.2947   236.9570   148.1340   212.3460
   365.0000     0.0001   -22.7833   240.4270    -2.2962   236.0910   179.1840   218.4950
   365.0000     0.0001   -22.7163   244.9060    -3.6076   297.3300   180.7250   209.5990
   365.0000     0.0001   -24.8823   239.9400    -4.1775   229.9250   156.1080   222.1170
   365.0000     0.0001    -7.6007   258.9090    -4.9565   315.6990    77.5581   157.8220
   365.0000     0.0001   -21.0977   240.9430    -6.5939   212.8550   103.5420   193.6150
   365.0000     0.0001   -14.4428   262.9770    -8.3156   339.1850    23.6339   142.8680
   365.0000     0.0001   -22.6954   251.2080    -2.6763   276.4860   140.0330   195.9590
   365.0000     0.0001    -4.5017   237.3050    -4.5401   155.9690    91.8822   245.4470
   365.0000     0.0001   -22.0885   233.9540    -4.9692   221.3080   137.9750   217.9370
   365.0000     0.0001    -4.8410   241.1000    -8.6623   150.4600    48.1067   226.2030
   365.0000     0.0001   -23.1887   239.7750    -5.7058   296.9920   147.2490   210.4530
   365.0000     0.0001   -18.9728   244.7560   -10.9518   218.5910   116.9060   214.1840
   365.0000     0.0001    -1.9740   250.4260    -1.9646   268.9510    32.5759   193.8470
   365.0000     0.0001   -25.1114   239.2150    -4.0671   230.3410   137.0780   218.8710
   365.0000     0.0001   -34.7368   238.8250    -5.6985   243.6420   157.8940   139.2890
   365.0000     0.0001     7.5110   262.4250     8.5692   261.9920    -9.9171   204.3710
   365.0000     0.0001   -22.6611   238.1520    -3.4799   213.0340   144.3120   227.7550
   365.0000     0.0001   -27.7428   237.9300     1.4999   231.2970   181.1560   179.9170
   365.0000     0.0001  -140.6650   284.3950   -14.9534   117.2010   182.9750    71.1577
   365.0000     0.0001   -23.5326   248.6990     1.5005   258.2070   114.7930   222.7320
   365.0000     0.0001   -26.0563   243.4030    -3.5773   250.5710   153.1520   221.2200
   365.0000     0.0001   -21.9360   245.2020     1.6785   261.4360   169.0320   226.8130
   365.0000     0.0001    17.9388   129.3800   -12.5184   -37.9557   -95.5595    68.4334
   365.0000     0.0001     0.5159   246.8380     4.5490   228.7860    71.7760   247.6830
   365.0000     0.0001   -30.6996   230.7430    -8.2716   208.2890   151.5690   173.4470
   365.0000     0.0001    -4.2219   254.9570     0.9860   266.2880   -28.1552   199.6430
   365.0000     0.0001    -3.8897   250.2540    -8.4697   332.1670   -14.4863   200.3040
   365.0000     0.0001   -24.3057   205.4210    -9.7255   170.7720    90.9121   138.3040
   365.0000     0.0001    -3.5320   260.4970     2.9826   294.0050    14.6961   157.6210
   365.0000     0.0001   -20.8978   263.2470   -11.2654   294.4750    78.6982   150.1610
   365.0000     0.0001     0.3363   237.2620    -0.5280   154.5890   108.6840   239.9970
   365.0000     0.0001     5.2969   199.3760    -6.2966   104.4590    72.1468   160.5220
   365.0000     0.0001   -27.6124   222.2360     0.6207   177.7180   139.9610   165.5600
   365.0000     0.0001   -24.5898   240.7060    -3.4797   267.7930   160.2330   210.9530
   365.0000     0.0001   -10.6444   251.7760     6.9306   300.5530    64.5833   225.1030
   365.0000     0.0001    -9.0140   258.5110    -0.3043   305.8630    49.3825   187.9660
   365.0000     0.0001   -12.7735   264.3930    -8.0254   286.1320    56.7248   161.9840
   365.0000     0.0001   -17.4357   235.5720    -1.0619   210.0320   107.7240   239.0140
   365.0000     0.0001    -3.4999   252.8940    -5.5319   188.7600    42.3455   187.8140
   365.0000     0.0001    -2.9018   241.7970    -3.8053   151.7960    39.3343   224.0390
   365.0000     0.0001   -21.8054   241.9530    -2.9641   273.2380   182.3490   231.8820
   365.0000     0.0001   -22.5197   241.7640   -15.3906   229.1780   110.7160   174.1580
   365.0000     0.0001   -21.6971   234.2220   -11.2428   207.4250   114.5080   219.1780
   365.0000     0.0001   -21.8291   243.1880    -6.5911   268.8910   151.8810   201.0410
   365.0000     0.0001   -24.8106   248.3210    -1.1505   270.3260   143.4100   225.1510
   365.0000     0.0001   -21.6480   241.1850   -12.3969   225.3110   110.5210   181.6960
   365.0000     0.0001   -26.1324   225.2200     4.9280   194.2630   156.2190   165.9200
   365.0000     0.0001   -73.9501   294.1660    -5.8507   214.9320   163.1060    95.3128
   365.0000     0.0001    22.5424   132.0330   -24.4892     8.9881   -99.5924    81.5570
   365.0000     0.0001   -22.6533   244.7940    -1.8339   258.3900   180.8970   227.5770
   365.0000     0.0001   -17.8455   229.9980     7.7400   225.7200   200.7490   191.2450
   365.0000     0.0001   -24.0232   243.9540    -2.7427   310.1170   135.3780   222.9650
