#         t          m          x          y          z         vx         vy         vz
   525.0000     0.0001   154.3010   -25.5493   175.0440   -60.0091   -69.1462   -82.3418
   525.0000     0.0001   140.9000   -24.7754   160.9940   -68.3648   -56.4074   -95.8575
   525.0000     0.0001    24.9359   219.3150    -5.3243    79.1628    51.1446   130.8160
   525.0000     0.0001    17.9242   244.6790   -26.6078    79.4321   134.3720    69.9449
   525.0000     0.0001    77.4707   109.7690    78.6969    -9.5769  -350.8990   -17.7175
   525.0000     0.0001   151.9580    91.2264   128.2330   -66.2395    90.0950   -19.8157
   525.0000     0.0001   122.6220   -25.2869   116.1260  -127.6830   -53.2286   -82.6700
   525.0000     0.0001    -9.0926   247.4970   -59.2404    -3.0678   173.4120    21.7776
   525.0000     0.0001    30.1177   237.6970     1.7493   106.4010   105.8050   118.8040
   525.0000     0.0001    59.6616   164.2750    48.8880   136.2880  -105.5890   212.9380
   525.0000     0.0001    30.1545   215.3380    22.6544    88.6541    50.6793   103.3430
   525.0000     0.0001    71.8300    84.5244    65.4375  -115.9360  -233.6030  -146.4990
   525.0000     0.0001    19.7653    28.6330     8.2851   -30.6337   139.2190  -176.8860
   525.0000     0.0001    45.4096   181.1700    38.1439   176.1020   -18.1130   202.0690
   525.0000     0.0001    80.6200   128.7420    75.6984     3.0349  -341.0570    65.8916
   525.0000     0.0001    59.0569   170.0050    37.0904    68.3680   -94.6095   198.4070
   525.0000     0.0001    71.9358   116.9100    73.1715    82.1893  -376.6150    69.8807
   525.0000     0.0001    73.5602    89.8339    74.8433   -51.1856  -292.1890   -30.1303
   525.0000     0.0001    18.6142    88.9326   -14.3430    41.8407   221.7300  -132.7130
   525.0000     0.0001    16.8811   247.3930    -8.7212    80.8947   135.8860    90.6574
   525.0000     0.0001     4.9687   238.9860   -33.9824    61.7128   155.5890    60.2673
   525.0000     0.0001    -7.9897   225.9180   -45.7395    23.0786   134.1320    52.9562
   525.0000     0.0001    58.6442   164.6730    35.1334   156.8180   -76.6229   197.0430
   525.0000     0.0001     0.8101   223.0310   -81.2566    53.6457   130.4680    -9.3094
   525.0000     0.0001     9.3529   189.4070   -29.4178    72.6737   144.1330    85.6119
   525.0000     0.0001    18.4899   195.6410  -109.1300    23.0163   135.6910   -51.9035
   525.0000     0.0001    62.3022   165.3660    38.3120    70.9503  -145.6110   195.5420
   525.0000     0.0001   284.4780   -11.3781   170.0030   -15.2155  -130.5780     9.1463
   525.0000     0.0001   -13.7148   240.2410  -108.2870    15.6909   177.9090   -70.0366
   525.0000     0.0001   113.4960    49.2992   122.2770   -26.1511    93.7944   -39.7892
   525.0000     0.0001    16.1595   239.9690   -49.4318    20.4719   178.4880    42.6856
   525.0000     0.0001    18.6425   224.6940     7.7191   100.1010   104.9610   132.5820
   525.0000     0.0001    43.1951   248.7420    12.8018    80.4062   123.6770   146.5200
   525.0000     0.0001    59.7896   132.1970    51.2270   299.0880  -286.1920   262.1740
   525.0000     0.0001    75.2856   114.3400    76.1724    54.2819  -352.2500    47.2540
   525.0000     0.0001    67.5641   136.5530    56.3198  -206.6890    41.5151  -298.4480
   525.0000     0.0001    54.1317   231.7110     0.3949   146.7630    73.7719    79.9950
   525.0000     0.0001    -5.3249   248.1120   -51.6509     5.9658   152.9910    38.0493
   525.0000     0.0001    14.6370    63.6907    -2.6617    14.3943   194.5720  -165.0390
   525.0000     0.0001    42.9622   233.7850   -42.5980    56.5234   171.2180    58.0406
   525.0000     0.0001    36.9302   187.1250    38.2772   152.7720  -109.5130   156.8670
   525.0000     0.0001    98.8862    25.1340    75.2813  -146.6550    -7.3456   -91.3056
   525.0000     0.0001    80.5177    -9.8105   100.3910  -100.9210    23.8257  -147.2060
   525.0000     0.0001     9.8773    79.3821   -15.1945    16.5582   206.0600  -124.9590
   525.0000     0.0001    38.3333   181.1790    30.2250   175.5170   -10.4709   191.2210
   525.0000     0.0001    43.3046   161.9510   -55.6624    18.8153     8.2915    93.9165
   525.0000     0.0001    49.1545   171.9320    38.4857   175.9930  -118.1030   151.3320
   525.0000     0.0001   190.0310   -50.6208   195.0910   -54.2974   -99.2202   -25.8946
   525.0000     0.0001    73.9104   118.0430    73.7232    48.4398  -355.5630   126.2120
   525.0000     0.0001    27.0822   221.5540   -57.2452    30.2186   170.3440    30.8783
   525.0000     0.0001    92.3121   134.9590   100.9290  -106.0440    78.4615  -193.1910
   525.0000     0.0001   297.8390   106.3040   141.8060    11.4364  -161.2280    14.8371
   525.0000     0.0001    76.2510   113.4260    75.5639    66.3179  -349.5220    66.6048
   525.0000     0.0001    11.7167   222.9160   -25.1962    72.0360   135.0490    87.1157
   525.0000     0.0001    77.0620   157.3040    82.0447    34.6107  -187.4610   115.5390
   525.0000     0.0001    71.2257   202.9410    18.0462    64.7355   -16.0490   117.1800
   525.0000     0.0001    33.5200   210.2740   -16.0304    80.1681   115.5940   138.3330
   525.0000     0.0001     6.9741   195.3770   -36.5565    -3.1652   140.5940    46.7539
   525.0000     0.0001    63.6580    26.6859    62.6238   -91.5124    87.2252  -222.7600
   525.0000     0.0001    -4.2394   217.0170   -59.2066    34.0359   138.8970    34.6983
   525.0000     0.0001    61.9613   180.9900    22.2779    71.5914   -83.2538   134.2010
   525.0000     0.0001    74.2819    88.9861    76.7104   -96.7311  -239.7050   -82.6200
   525.0000     0.0001    20.5697   244.9790   -19.6358    87.8491   137.5220    83.0371
   525.0000     0.0001   283.0120   104.8300   139.3410    16.2892  -174.1240    13.7534
   525.0000     0.0001    45.0971   177.9520   -50.1280   101.4640   176.3760    -9.2002
   525.0000     0.0001    10.4137   168.7370   -21.5906   -24.5764   186.9730    61.6059
   525.0000     0.0001    36.2415   177.6830   -27.9513    84.0649   205.4120    13.4257
   525.0000     0.0001    15.3181   247.7070   -26.9967    21.7869   159.0760    78.0446
   525.0000     0.0001    74.3437   119.5700    60.2022   100.6370  -404.1790   187.4170
   525.0000     0.0001   167.2660   -32.8164   206.7250   -51.6692   -90.1525   -48.9437
   525.0000     0.0001    69.7198   144.7150    61.6586    86.0134  -246.0230   198.6840
   525.0000     0.0001    41.6698   173.8400   -30.5779    74.4212   205.2080     7.4372
   525.0000     0.0001    58.1169    48.0549    45.5444  -175.2280   103.7460  -118.1100
   525.0000     0.0001    76.9588    99.9830    75.3173     6.8407  -344.6000   -57.9389
   525.0000     0.0001    63.9299   101.5600    56.0399   108.4310  -350.7380     7.8148
   525.0000     0.0001    54.5394   229.9620   -46.3579   106.1620   170.6180    22.4001
   525.0000     0.0001   -25.5357   201.3250  -106.6690    -2.5530   166.2990   -68.6646
   525.0000     0.0001    28.9321   221.9230   -12.0549   111.6220   100.2930   119.2430
   525.0000     0.0001    40.0468   241.1290   -14.7164    56.3921   167.4200   115.6120
   525.0000     0.0001    33.7631   154.3560    32.7594   207.6810  -167.3820   198.2360
   525.0000     0.0001    43.8334   176.0900    12.3071   113.1780   -12.8609   164.3250
   525.0000     0.0001   -13.3907   189.1640   -85.0994     2.6552   167.3130   -31.4558
   525.0000     0.0001    45.8964   247.0540    -9.4826    87.7752   148.0770   122.2070
   525.0000     0.0001    38.0244   239.9860    -8.5636    85.8044    67.9632    90.5188
   525.0000     0.0001    62.0471   148.2930    58.5000   124.9090  -241.2970   163.4450
   525.0000     0.0001    55.2574   237.4540     0.8199   138.2150    97.5079    92.3817
