#         t          m          x          y          z         vx         vy         vz
   680.0000     0.0001   159.0310    51.2626   142.3810   125.8020  -228.9710   126.7830
   680.0000     0.0001   105.8720   -34.7705    32.9580   -77.6706    92.2715  -123.5020
   680.0000     0.0001   173.5630    69.2439   155.7260   160.5180  -277.1230   186.8030
   680.0000     0.0001   162.5730    20.2520   115.7610  -128.4580    63.4794  -180.0560
   680.0000     0.0001   136.0730   228.5820    43.2803   106.5490   123.8770   105.0840
   680.0000     0.0001   129.2440    64.1547    81.1404   -13.5819   336.6810    11.9500
   680.0000     0.0001   169.3930   223.9510   106.3660   104.6610    34.9431   157.0730
   680.0000     0.0001   134.1090   197.1500    46.0023   177.5110   137.4010   100.6930
   680.0000     0.0001   191.2310   107.3630   174.7490    21.1348  -317.3540    -7.5123
   680.0000     0.0001   116.6440    -9.0503   103.0100  -121.1950   -98.6330  -248.2810
   680.0000     0.0001   174.0710    21.4382   113.0330  -122.9760    12.7319  -107.5980
   680.0000     0.0001   169.3710    29.8944   132.3720    46.6259  -206.9290     6.7360
   680.0000     0.0001   168.5080   244.2270   115.8170   113.6020    22.8126   142.6670
   680.0000     0.0001   120.9280   -25.9735    83.8113  -158.2420   -73.4225  -196.9670
   680.0000     0.0001   150.2520    41.9787   134.7860    19.6046  -241.4780    32.7663
   680.0000     0.0001   142.0590   142.0390   124.8960     7.1598   184.5690    -1.6995
   680.0000     0.0001   141.1020   225.3150   175.5000    85.1137  -199.8550    75.5943
   680.0000     0.0001   168.8680    10.0243   114.1020  -104.6780    20.2470  -101.3190
   680.0000     0.0001   198.6440   134.7690   203.0180     6.2946  -259.9920    11.7498
   680.0000     0.0001   144.9000    19.0191    85.6117  -178.8170   154.9630   -91.4837
   680.0000     0.0001   204.9990    18.8109   148.9700     4.3194   -84.7090   -18.5454
   680.0000     0.0001   161.3520    74.8362   149.5330   224.9390  -231.7060   222.2630
   680.0000     0.0001   194.8930     0.6865   122.9640   -73.4802   -15.7684   -96.3830
   680.0000     0.0001   168.7800    83.3741   147.0380   166.7950  -249.3860   241.1010
   680.0000     0.0001   167.2700    60.6273   154.0370   165.9480  -232.5480   113.0440
   680.0000     0.0001   166.2560    70.6309   147.8430   125.1070  -280.0320   222.0370
   680.0000     0.0001   136.2410    47.7768    86.4889  -290.4320   224.8370  -143.8150
   680.0000     0.0001   164.9050    24.5316   137.9930    60.3663  -172.1990    -6.0025
   680.0000     0.0001    60.2426    71.4101     1.1798    88.1632   123.6860   103.0350
   680.0000     0.0001   163.5680    70.7812   142.5850   154.9080  -280.1390   210.5420
   680.0000     0.0001   156.2850    50.8773   140.9910    76.2243  -251.7570   102.6070
   680.0000     0.0001    84.3287    75.7664    -2.2913    67.0961   135.2310   123.3350
   680.0000     0.0001   143.3350    42.1972   119.1410  -105.8880  -321.2430   -67.1404
   680.0000     0.0001   120.0460    84.8979    84.5863   114.8320   167.5130   144.9820
   680.0000     0.0001   163.7640    54.9776   157.3900   169.3780  -233.9640   139.2940
   680.0000     0.0001   128.0350    74.8031    79.4093    64.2837   278.3790    50.4581
   680.0000     0.0001   162.0260    89.3767   145.1170   214.6120  -208.6720   189.1260
   680.0000     0.0001   170.2270    78.3017   154.1840   246.8620  -213.0110   204.3800
   680.0000     0.0001   159.2590    49.3628   139.1620   124.0620  -210.3890    68.5650
   680.0000     0.0001   174.6630   364.0860   131.5100    66.9902   -76.7800    95.2557
   680.0000     0.0001   149.1380    28.8746   134.7610   -19.5327  -193.2290    29.7262
   680.0000     0.0001   169.0170    74.4976   153.0440   237.8970  -231.8800   230.5030
   680.0000     0.0001   165.5730   216.3480   128.0380   129.7460    12.8949   162.9770
   680.0000     0.0001   158.8010    48.3478   138.4440    74.2275  -241.0120    79.2664
   680.0000     0.0001    62.0474   142.2430    53.5570   126.2960   232.4900    44.7902
