#         t          m          x          y          z         vx         vy         vz
   345.0000     0.0001  -127.7400   242.7780   -33.3545   119.8120   183.6590    63.5433
   345.0000     0.0001     5.7320   173.0880   -41.7483   102.7870   -19.5787    75.6354
   345.0000     0.0001  -170.4220   228.0190   -37.2511    31.3428   210.1590    56.4358
   345.0000     0.0001   -22.3644   155.7790   -38.5835   162.4750   -57.9708    74.3062
   345.0000     0.0001  -100.1520   228.5030   -23.2892   188.7530   192.8200    71.8959
   345.0000     0.0001   -47.0906   191.3260   -37.8437   120.4300    60.8812    97.1715
   345.0000     0.0001   -50.2032   192.2240   -41.8003   111.7790    48.6538    75.6694
   345.0000     0.0001    -4.2568   222.8650   -13.9417   111.0780    94.9104   130.3900
   345.0000     0.0001  -126.3790   220.7050   -35.2917   131.2240   163.3420    78.2629
   345.0000     0.0001   -42.7351   186.7950   -42.4987   128.7090    34.4109    88.5255
   345.0000     0.0001   -24.6319   178.8350   -28.9482   144.0900    27.1493    85.3835
   345.0000     0.0001   -37.2525   179.5710   -45.0866   137.7280     8.8814    98.3641
   345.0000     0.0001   -29.9472   184.4010   -31.8076   135.6590    31.0809   102.4830
   345.0000     0.0001   -95.8962   243.8920   -27.9046   187.4520   196.3770    64.7510
   345.0000     0.0001   -43.8580   186.4040   -36.1729   124.1570    44.6592    96.9494
   345.0000     0.0001   -31.3557   180.3910   -39.3599   138.1540     3.8362    79.3441
   345.0000     0.0001   -55.9994   179.6380   -41.8792   133.9510    51.0068    80.0299
   345.0000     0.0001   -44.0573   190.6360   -25.6512   127.9840    77.7903    92.1798
   345.0000     0.0001   -35.1494   188.2200   -31.4056   127.5760    32.9639    92.5842
   345.0000     0.0001   -51.6645   192.9960   -34.5045   106.5230    66.6907   106.6910
   345.0000     0.0001   -49.7045   186.6720   -40.6461   120.5140    41.6681    89.5256
   345.0000     0.0001    -1.5568   200.7300   -23.9311    99.0509    46.6430    97.8827
   345.0000     0.0001  -115.7230   225.6350   -32.7317   154.4370   156.9550    45.5812
   345.0000     0.0001     7.6102   145.5600   -39.7459   102.3690   -91.8501    69.2810
   345.0000     0.0001    -9.3203   195.2670   -24.5573   105.7050    32.4446    97.3861
   345.0000     0.0001   -42.4528   181.3930   -48.2950   136.6960    24.2349    94.6585
   345.0000     0.0001   -46.5923   188.1810   -33.6857   119.3030    51.3484   109.9720
   345.0000     0.0001   -31.5245   168.0060   -39.7733   151.8220   -17.3206    97.6964
   345.0000     0.0001   -27.2324   183.6690   -37.2257   136.6630    13.7756    93.9225
   345.0000     0.0001  -107.6500   225.0700   -29.9138   173.3070   187.6860    59.7593
   345.0000     0.0001  -111.2750   219.9580   -35.7165   169.6040   187.8750    66.5920
   345.0000     0.0001    -5.4099   176.5940   -31.4228   117.2230    -2.7727    97.7471
   345.0000     0.0001   -14.6036   199.5470   -31.0032   114.8460    39.4130    94.6528
   345.0000     0.0001  -103.9790   227.3380   -33.3016   184.9670   155.0330    62.2440
   345.0000     0.0001   -20.3504   184.8180   -38.4014   130.8250    19.7568   107.0830
   345.0000     0.0001    -4.2856   232.4250   -15.8398   103.8350   107.9380   146.6100
   345.0000     0.0001  -103.9930   222.0330   -31.3909   185.6420   153.2280    57.9058
   345.0000     0.0001    -8.5424   214.6890   -31.9461   110.1820    58.7807   114.3980
   345.0000     0.0001  -191.3960   209.6100   -54.5922    -9.8623   190.7730    40.8435
   345.0000     0.0001   -70.0673   187.6880   -31.3991   114.9640   103.6930   102.0320
   345.0000     0.0001   -41.2284   190.8330   -34.1436   119.7480    39.2540    95.2272
   345.0000     0.0001   -39.4806   180.4990   -29.7615   126.0140     9.5838    90.3094
   345.0000     0.0001   -98.8945   227.3330   -24.1024   189.8060   190.1340    64.1203
   345.0000     0.0001    -0.5629   137.9780   -28.9876   124.0540  -106.8270    64.2991
   345.0000     0.0001   -33.6572   172.1220   -38.8157   143.1370   -10.4412    90.1291
   345.0000     0.0001   -56.4702   190.8580   -37.2141    98.7563    57.9910   121.8290
   345.0000     0.0001  -183.9910   218.2360   -54.4825     4.4982   199.2720    43.0198
   345.0000     0.0001  -137.0810   246.6800   -29.0443    99.4349   203.4690    54.1574
   345.0000     0.0001  -160.0750   227.6740   -41.6997    50.7361   204.1420    58.2991
   345.0000     0.0001   -51.4473   193.7750   -34.4064   110.0520    71.6045   101.7170
   345.0000     0.0001   -88.2013   238.9810   -20.7923   202.2980   190.4390    56.8023
   345.0000     0.0001   -49.7600   183.9410   -36.1917   136.8900    71.4678    89.6657
   345.0000     0.0001     1.3234   144.8500   -27.5215   104.7620   -86.3103    60.4925
   345.0000     0.0001   -33.9591   193.3910   -45.0624   135.0500    67.0759    88.7447
   345.0000     0.0001    12.4707   150.0040   -33.7729    74.8535   -79.3878    65.2316
   345.0000     0.0001   -54.6591   181.6450   -45.3644   130.2000    46.4636    94.6828
   345.0000     0.0001     5.2804   131.9100   -27.3863    69.5652  -123.7070    64.5856
   345.0000     0.0001   -49.3589   186.4090   -29.2197   116.0010    49.9571    94.1343
   345.0000     0.0001   -27.1695   167.0590   -32.1307   141.4860   -42.2178    89.6555
   345.0000     0.0001  -151.2440   238.1800   -36.1568    69.2041   202.1370    68.1851
   345.0000     0.0001   -59.8422   190.6980   -28.5198   109.7000    94.1481   118.0240
   345.0000     0.0001   -48.7946   176.0860   -33.9430   145.4890    43.0601    92.4374
   345.0000     0.0001   -39.2212   170.0380   -36.6450   161.9430    13.7791   117.1180
   345.0000     0.0001   -66.5690   186.9080   -47.5172   122.1260    85.9683    73.5466
   345.0000     0.0001  -116.8970   219.3170   -22.0758   148.9840   174.6180    72.1936
   345.0000     0.0001   -93.9774   227.0650   -24.4236   203.4130   187.2740    62.9123
   345.0000     0.0001   -31.6134   182.8510   -33.0263   132.0660    19.7018   100.4560
   345.0000     0.0001   -90.4063   232.1810   -18.8586   206.1240   176.8040    65.4311
   345.0000     0.0001     1.6166   158.7220   -39.3810   126.7820   -46.9603    79.9625
   345.0000     0.0001   -36.6231   159.2840   -38.5279   168.5400   -32.6442    81.7223
   345.0000     0.0001   -47.6730   191.1730   -35.5263   111.8330    46.0199    89.4529
   345.0000     0.0001  -125.8550   217.2710   -39.4962   132.4300   175.7480    57.4053
   345.0000     0.0001   -31.8352   182.8730   -30.2364   140.8340    39.5594    97.9594
