#         t          m          x          y          z         vx         vy         vz
   455.0000     0.0001   156.3780    59.4336   218.7450    31.5538  -155.3760    62.2701
   455.0000     0.0001    75.9138    53.6880    36.3595   193.0620   -78.2308   131.7950
   455.0000     0.0001    49.2121    77.8341    84.9701   -48.2119   -58.5622  -214.8290
   455.0000     0.0001    56.2797    88.4753   100.9490   -80.9063  -108.1280  -197.4770
   455.0000     0.0001    55.8973    71.3764    65.0094   -73.3669   -45.4092  -155.4180
   455.0000     0.0001   147.2560    81.6273   192.0140    14.8404  -139.7850    27.7725
   455.0000     0.0001    59.8857    73.5401    57.2278  -132.3850  -107.9800  -148.1190
   455.0000     0.0001    -0.4268   160.5010   -39.7166   -59.3788   125.4380   -91.1582
   455.0000     0.0001    37.6512    81.7205    82.0208   -62.5403   -71.1719  -194.1990
   455.0000     0.0001   125.1780    73.7354   160.0980   -38.4037  -153.4220    10.5521
   455.0000     0.0001    86.0684    80.9024    87.5450   -56.3577  -124.6890  -185.2630
   455.0000     0.0001   127.8660    74.1768   160.9220   -20.9547  -136.4120   -12.5734
   455.0000     0.0001    60.6599    82.8155   101.4660   -78.6331   -90.5704  -157.2040
   455.0000     0.0001    57.7323   141.8240    23.7135    66.0369    59.5598   157.0840
   455.0000     0.0001    54.8623    91.0407    56.5065  -126.4550  -102.0870  -191.0930
   455.0000     0.0001   150.4540    82.6430   173.3860     2.4717  -149.6320    15.7251
   455.0000     0.0001    59.0262    81.5789   110.6680  -100.1880   -73.3076  -141.7960
   455.0000     0.0001   194.8790    98.2854   182.2980    44.4088  -155.7320    62.2648
   455.0000     0.0001    48.0722    79.7330    47.4090   -66.4595   -68.4948  -225.3620
   455.0000     0.0001    33.0748    97.5575    18.3675  -101.0250     9.1685  -298.6700
   455.0000     0.0001    41.1549    95.8704    48.5111   -81.7061   -67.8154  -253.9980
   455.0000     0.0001    43.4835    80.0067    89.5553   -61.0047   -83.9878  -183.4020
   455.0000     0.0001    44.1098    78.4559    91.3974   -51.4662   -85.8118  -182.0330
   455.0000     0.0001    17.2048   110.1500   -12.0881  -142.5740   150.3110  -191.6290
   455.0000     0.0001    39.1112    90.6929    42.0933   -50.2277    12.6581  -234.9860
   455.0000     0.0001    98.4339    72.0326   152.2000   -43.1962  -114.2790   -43.5938
   455.0000     0.0001    50.5242    72.1302    92.6083  -113.2670  -112.8560  -202.3630
   455.0000     0.0001    67.6248    58.9755    44.8379   182.9230  -104.2980   163.3700
   455.0000     0.0001    43.0576    94.1440    37.2302  -137.3250   -33.7798  -239.6530
   455.0000     0.0001    41.4920    71.5022    94.9744  -119.0880   -29.8107  -135.0030
   455.0000     0.0001   149.1050    84.6460   190.5040     5.4825  -141.2430    30.6258
   455.0000     0.0001   -15.8866   140.9880   -66.8731   -49.2162    47.0923   -66.9943
   455.0000     0.0001    46.8956    71.4347    81.9295   -92.0987   -81.9340  -241.4820
   455.0000     0.0001    47.1258    66.6303    89.5860   -70.4484   -99.1451  -156.8530
   455.0000     0.0001   128.7010   102.6770   144.4620    -2.7108  -157.8570   -41.3853
   455.0000     0.0001    46.7903    72.6926    80.8003   -86.2805   -80.8177  -207.5960
   455.0000     0.0001    39.3796   102.0760    49.5118   -63.0168   -57.0229  -304.3730
   455.0000     0.0001   213.8120   176.2520   144.5370    73.0592  -159.6330    64.0042
   455.0000     0.0001    44.7506    83.5236   106.6490  -103.5720  -120.2780  -171.8830
   455.0000     0.0001    12.3555   149.1330   -34.7382   -74.6134   135.3730  -163.2450
   455.0000     0.0001    19.0167    98.1493     8.8906   -30.0763   105.7910  -283.0800
   455.0000     0.0001    27.0376    97.4592    10.8200   -31.9512    98.2507  -292.9950
   455.0000     0.0001   111.6070   129.2990   149.7840     4.9709  -158.3910   -42.8995
   455.0000     0.0001   243.3830   108.7010   185.4640   103.3250  -158.7860    93.1292
   455.0000     0.0001   164.1350    83.6543   189.4870    20.8407  -150.7100    38.3311
   455.0000     0.0001    46.0955    83.4875    56.0585  -106.8480   -66.0364  -219.1530
   455.0000     0.0001    42.1300    95.3411    56.5398   -89.8319   -41.4589  -182.7710
   455.0000     0.0001    38.4606    94.0314    70.1299   -51.1302   -46.4520  -190.4670
   455.0000     0.0001   158.8590    53.0557   183.6660    17.8059  -157.9200    34.5856
   455.0000     0.0001   136.8910    91.5648   156.2160   -11.3214  -147.7980   -14.1393
   455.0000     0.0001   146.1740    77.5358   179.3540    -2.9424  -154.7400    25.3115
   455.0000     0.0001    65.6412    73.3076    37.0807   178.4080  -105.2090   146.9160
   455.0000     0.0001    89.1714    93.8350    27.6734   207.5760   -55.9590    99.1155
   455.0000     0.0001    49.2375    71.8434    80.2510   -96.0760   -80.6447  -149.5440
   455.0000     0.0001    56.3773    85.0090    54.6165   105.9340   113.5600   118.2850
   455.0000     0.0001    40.5435    93.4520    37.7217  -112.7950     7.9163  -230.3510
   455.0000     0.0001   -61.0652   161.2520   -58.3592   -42.5667    47.9121     1.0762
   455.0000     0.0001   166.1000    91.9077   221.3440    42.5576  -140.2360    58.7985
   455.0000     0.0001   166.3090   111.2490   153.1800     5.4687  -180.5400    28.8335
   455.0000     0.0001    93.1016    78.0754   159.9000   -47.0374  -117.7870   -39.0988
   455.0000     0.0001    54.4376    55.4806    59.9350   129.2740   -70.9691   183.6840
   455.0000     0.0001    19.8333    85.7602    33.1603   -47.5053    29.4613  -255.4500
   455.0000     0.0001    21.8806    93.7127    22.1600   -52.2941    77.0989  -272.4850
   455.0000     0.0001    82.4578    62.9694   126.1400  -102.3680  -158.1220   -48.2962
   455.0000     0.0001    39.1446    90.1286    61.5023   -95.1843   -82.7282  -209.5760
   455.0000     0.0001    33.6508    83.7257    57.7687  -100.9530   -26.6010  -201.1550
   455.0000     0.0001    20.9472   399.2670    53.4422   188.8870     9.2083    75.9913
   455.0000     0.0001   -32.3289   147.0010   -44.0179   -73.7589   117.7080   -73.7019
   455.0000     0.0001   104.6860    52.7588   127.8370   -72.7579  -147.2740   -22.8552
   455.0000     0.0001   148.6900    74.9521   167.3260    -4.4108  -143.6550    16.5903
   455.0000     0.0001    90.9899    95.6708   171.5760   -14.9575  -141.0700   -32.0051
   455.0000     0.0001   150.4540    82.6430   173.3860     2.4717  -149.6320    15.7251
   455.0000     0.0001   236.4330   128.0650   168.8630    93.5144  -154.7490    89.8490
   455.0000     0.0001    89.6475   150.6880    63.5029   147.3290  -234.5510   119.4940
   455.0000     0.0001    45.2756    93.5498    44.9635   -66.4388   -42.6350  -270.6030
   455.0000     0.0001    50.8249    62.7648    63.7721  -114.7940   -77.5372  -167.9780
   455.0000     0.0001   -95.7893   122.7150   -60.1957   -59.1967   -11.0904    -8.3896
   455.0000     0.0001    81.2979    67.4431    38.5718   203.0290  -102.1160   143.6830
   455.0000     0.0001    41.3176    97.0401    63.4978   -92.3451   -15.0025  -234.9990
   455.0000     0.0001   186.2720    82.0341   186.2050    41.3134  -148.4070    51.6281
   455.0000     0.0001   104.7290   127.9890   163.2000   -13.0919  -138.1490   -30.2047
   455.0000     0.0001    96.7182    76.3265    40.7786   202.0500  -109.2430   107.4320
   455.0000     0.0001   -10.7887   155.5850   -63.9534   -15.4782    75.5686  -108.9830
   455.0000     0.0001    22.5892   128.8770    12.2691  -196.1660   251.4220  -304.1180
   455.0000     0.0001    28.6432    97.9448    30.3286   -84.3217    17.2249  -299.0160
   455.0000     0.0001   110.6110    69.9498   136.9660   -51.5917  -132.1910   -44.7733
   455.0000     0.0001   159.6770    74.9622   188.9600    19.1844  -150.3910    34.1871
   455.0000     0.0001    38.9748    72.0225    69.7524   -85.3466   -70.9757  -196.2570
   455.0000     0.0001    68.5152    75.0253    81.2298  -136.5210  -164.7520  -148.2940
   455.0000     0.0001    35.7302    87.3436    66.1636  -104.8170   -60.6110  -185.3900
   455.0000     0.0001   154.9910    87.1071   184.5640    23.7626  -146.0660    16.9324
   455.0000     0.0001    95.6836   176.7730    63.6847   189.8220  -158.1190   112.0700
   455.0000     0.0001   147.4350    73.3287   182.9930     4.8329  -138.5120    21.8356
   455.0000     0.0001   142.0930    65.2123   168.6210    -6.7762  -146.2620     8.5786
   455.0000     0.0001    43.0449    79.2421    52.9616   -97.5348   -71.1001  -250.2920
   455.0000     0.0001   173.4990    84.8629   207.9490    48.5804  -154.7420    65.5235
   455.0000     0.0001   231.5700   242.2720   128.5030   116.2290  -125.1000    76.6346
   455.0000     0.0001    40.0060    95.8864    64.2333  -101.7420   -40.9577  -224.8600
   455.0000     0.0001    51.6301    86.6590    55.9999   -93.9382   -34.9411  -186.5100
   455.0000     0.0001    75.5568    79.5453   114.9580  -107.6390  -126.9830  -101.3530
   455.0000     0.0001   166.0600   111.0050   208.2210    50.4918  -138.3860    42.8694
   455.0000     0.0001   104.7840    81.6371   132.1510   -10.6328  -142.2320   -94.6034
   455.0000     0.0001    19.9784   124.7120   -12.6324  -100.5300   108.0090  -292.8380
   455.0000     0.0001   106.1460    89.5552   172.5850   -25.9150  -139.3530   -23.4971
   455.0000     0.0001    39.1917    96.0868    69.1826   -54.8521   -42.6803  -193.8930
   455.0000     0.0001    37.7243    84.0835    61.8269  -137.5760   -62.5856  -189.5180
   455.0000     0.0001    52.9121    73.2959    86.6296   -48.1392   -64.7804  -198.2640
   455.0000     0.0001    38.9880   103.0470    41.7019   -61.4140    10.8674  -273.4660
   455.0000     0.0001    25.2823   108.1340     8.9202  -100.2940   153.0690  -271.8890
   455.0000     0.0001   -18.7860   152.0070   -51.1056   -49.7426   106.9550   -91.1149
   455.0000     0.0001    72.6182    77.4424    81.8273  -127.5360  -121.1970  -176.3200
   455.0000     0.0001    60.4830    79.2003    95.3010  -154.4450   -99.5735  -141.7600
   455.0000     0.0001    42.7248    99.3824    37.3058  -113.0870   -22.3424  -282.8560
   455.0000     0.0001    40.0222    87.1909    54.9947  -114.8230   -49.0441  -256.7310
   455.0000     0.0001    43.2011    90.3465    58.7906   -98.4478   -36.3526  -211.1890
   455.0000     0.0001    39.5217   100.2740    35.2599  -108.9230    24.5650  -274.2400
   455.0000     0.0001   151.5740    57.4654   178.2820     7.7753  -146.8050    24.6235
   455.0000     0.0001    28.6743    96.0325    41.2805   -62.3419    22.6467  -258.0430
   455.0000     0.0001   112.9980    93.5562   113.2190   -33.3723  -153.4470   -92.6584
   455.0000     0.0001    65.1597   137.5050    57.3511   -10.4956  -259.1420    27.3203
   455.0000     0.0001    53.2102    89.1553    53.5273   -63.7620   -73.8477  -238.6260
   455.0000     0.0001    65.1597   137.5050    57.3511   -10.4956  -259.1420    27.3203
   455.0000     0.0001    80.2708    68.9099    48.0856   192.8150  -102.6240   156.1920
   455.0000     0.0001    37.3080    92.5068    48.5367  -144.6790   -42.1228  -219.6930
   455.0000     0.0001    46.0429    80.5042    55.8261   -85.2116   -31.8170  -165.9030
   455.0000     0.0001    54.5016    70.4542    80.6352   -83.6155   -89.6493  -191.1670
   455.0000     0.0001   107.4600    92.5179   141.9630    13.9847  -137.8180   -79.2449
   455.0000     0.0001   243.3800   230.7000   127.0300   140.0480  -124.9530    75.3218
   455.0000     0.0001    88.9371    84.1306   155.0760   -41.0935  -115.9920   -57.2270
   455.0000     0.0001    78.8171    84.7663   101.1960   -99.3511  -112.8610  -144.4130
   455.0000     0.0001    34.2187    74.5604    62.9448   -75.7681   -77.2379  -152.2820
   455.0000     0.0001   154.1390    98.2393   198.8110    18.3140  -137.1860    34.6889
