#         t          m          x          y          z         vx         vy         vz
   470.0000     0.0001   148.3810    53.8756   177.8530   -19.2956  -127.5930   -17.5676
   470.0000     0.0001    23.7436    71.2160    23.0417  -126.4500    49.4859  -239.9860
   470.0000     0.0001    33.1933    92.1873    12.2776   -72.3122   126.1980  -283.8970
   470.0000     0.0001    35.5989    78.9431    13.6918  -146.6750    86.9263  -279.6600
   470.0000     0.0001    38.8905   131.3470    30.1591   313.0950   472.8960   -22.0869
   470.0000     0.0001    20.4408    90.4595    30.4171  -128.7920   105.8510  -321.8600
   470.0000     0.0001   -15.6184   168.5180   -11.1260   -79.0100   147.1410    29.2647
   470.0000     0.0001    49.3803    71.4449    57.9105  -151.9670   -10.5020  -244.4150
   470.0000     0.0001    36.3054    79.4936    19.0332  -169.9520    86.4180  -290.8810
   470.0000     0.0001   -61.4376   106.2480   -96.3565   -14.3050   -18.0582     4.8089
   470.0000     0.0001   282.5080   166.8990   135.4640   114.5880  -139.6710    56.6077
   470.0000     0.0001    76.5071    48.0712   137.0730   -75.3174   -92.6241  -100.3720
   470.0000     0.0001    26.3814    71.2797    38.4637  -167.6940    86.2885  -212.6220
   470.0000     0.0001    29.7661    68.1093    65.3054  -144.4320     2.9984  -232.9570
   470.0000     0.0001    36.3661    78.4257    24.6966  -115.1610    97.5904  -270.2560
   470.0000     0.0001    33.9592    81.3602    12.3960  -106.5750    80.7206  -292.5280
   470.0000     0.0001    21.1011   124.8540    -5.1683   -23.9362   240.9260  -190.2420
   470.0000     0.0001    34.6295    69.3250    29.0227  -141.3500    56.0469  -255.9590
   470.0000     0.0001    24.7438    78.0339     5.1957  -102.5380    96.0869  -254.1720
   470.0000     0.0001    38.2673    90.2933    20.7254   -87.9531   101.2830  -259.0470
   470.0000     0.0001    21.8587   111.4350     9.3821   -20.0845   212.3620  -249.8700
   470.0000     0.0001   -18.8837   180.2730   -13.8061   -36.3585   125.5820    49.1041
   470.0000     0.0001    40.2402    59.2211    20.3272  -162.8230   -10.7600  -258.7110
   470.0000     0.0001   148.3810    53.8756   177.8530   -19.2956  -127.5930   -17.5676
   470.0000     0.0001    28.1350    64.4780    24.4460  -124.6830    92.4149  -226.3000
   470.0000     0.0001    77.2726    76.9227    98.2284     6.1887  -185.1890    21.8719
   470.0000     0.0001    23.5746    78.5708    29.4778   -58.4121    95.9755  -275.6400
   470.0000     0.0001    27.0107    68.2968    29.6451   -94.6116    72.1931  -313.6470
   470.0000     0.0001    34.7908    53.9468    54.2501  -119.9190   -21.8866  -250.7510
   470.0000     0.0001    50.3243    65.1132    54.8395  -155.1360   -23.6113  -235.2970
   470.0000     0.0001    20.7916   101.1610     3.4526   -43.8670   205.7930  -164.7480
   470.0000     0.0001   133.6970    55.5481   160.1840   -49.0592  -164.2850   -18.1785
   470.0000     0.0001    36.4416    91.2039    18.7892   -70.8203    62.7435  -286.3200
   470.0000     0.0001    32.2521    81.4252    34.0368   -71.9125   102.8990  -250.5040
   470.0000     0.0001    31.1999    70.7135    24.3973   -88.6569   135.8500  -217.0070
   470.0000     0.0001   143.9510    78.7726   192.1770   -17.5212  -141.2910    -5.9753
   470.0000     0.0001    23.8004    63.6455    57.0977  -114.0470   -17.2188  -268.1510
   470.0000     0.0001   148.5350    54.9478   190.3260    -9.3726  -127.7850   -10.4102
   470.0000     0.0001   139.0550    76.7390   186.0910   -24.4152  -135.8550   -14.6646
   470.0000     0.0001    34.9528    93.7272    21.4747   -34.3960   116.7860  -250.2760
   470.0000     0.0001    24.3584    78.4507    12.4790  -185.7030    87.2501  -295.8670
   470.0000     0.0001    32.4822    94.5233    -7.2645  -120.7680    86.7313  -217.7870
   470.0000     0.0001   -18.8837   180.2730   -13.8061   -36.3585   125.5820    49.1041
   470.0000     0.0001   205.9020    72.7644   208.9350    36.8394  -144.1730    44.4813
   470.0000     0.0001    27.1893    66.6727    25.0082   -83.0928    96.9609  -238.4450
   470.0000     0.0001    27.8410    96.1607    16.9015    20.3293   133.2290  -244.0350
   470.0000     0.0001    36.8628    76.4060    20.8247  -133.1970    83.8364  -336.7320
   470.0000     0.0001   112.2780   116.7590    89.9751    52.9365  -205.0820    45.9839
   470.0000     0.0001    34.9588    61.2875    25.3164  -131.6790    68.3783  -219.5540
   470.0000     0.0001    23.2886    87.1404     6.5956  -121.6560   126.8910  -188.0500
   470.0000     0.0001   244.4790    95.2016   191.0000    67.8587  -156.6300    73.6733
   470.0000     0.0001    32.0137    49.5177    56.7873  -154.8280   -24.6100  -210.6420
   470.0000     0.0001    74.8017    65.9920   110.7400  -107.4480  -102.5060  -133.5970
   470.0000     0.0001    34.5863    77.9149    33.8029   -69.2463    55.9867  -328.1790
   470.0000     0.0001    70.5233   109.8990   113.0970   -23.6363  -136.1760  -180.5750
   470.0000     0.0001    17.1262    97.8156     5.8606   -74.4387   142.6700  -224.5620
   470.0000     0.0001   -84.0101    98.0161   -73.3247    -3.6115   -35.3663    33.8433
   470.0000     0.0001    38.2481    91.0683    20.1584   -86.5686    96.8705  -258.6580
   470.0000     0.0001    17.4073   121.6720   -23.9545   -92.3077   161.2710  -148.2690
   470.0000     0.0001    18.2385    94.1997    10.7170   -54.1274   161.7060  -240.5310
   470.0000     0.0001   209.9280    90.4422   158.3780    14.3289  -168.3990    35.9397
   470.0000     0.0001   104.5640    72.8024   100.5960   -58.0910  -114.5180  -149.6130
   470.0000     0.0001    93.6392    42.3003   120.4090   -81.4918   -86.9372   -95.4174
   470.0000     0.0001    19.4398    86.4450    11.7745  -148.3560   109.7820  -210.5330
   470.0000     0.0001    17.8505    97.1508    17.2326   -31.3321   159.0530  -237.0580
   470.0000     0.0001    31.9793    77.5127    29.9462   -31.9810   131.2820  -278.1040
   470.0000     0.0001   107.7740    66.8245    64.4383   -41.4962  -160.1500     5.3485
   470.0000     0.0001    31.1616    75.6788    17.4587  -157.2380    59.8298  -310.8320
   470.0000     0.0001    22.8233    78.4598    13.1922  -135.7080   110.0210  -262.5810
   470.0000     0.0001    21.0852    80.9921    27.9430  -119.4130   125.0950  -286.9010
   470.0000     0.0001    27.0981   116.3600     9.5438   -32.3944   243.2600  -266.6500
   470.0000     0.0001    62.3937   378.9560    74.1226   193.5710   -33.6815    75.4569
   470.0000     0.0001   108.8010    84.6611    76.7179    96.4313     0.9828   108.0640
   470.0000     0.0001    94.9648   118.1400    95.6854    20.2439  -209.1610    73.4618
   470.0000     0.0001    -8.1845   152.4590   -45.1053    11.6269     5.3771    71.5344
   470.0000     0.0001   -16.3486   150.8820   -74.5314     6.3500    18.7628    34.2633
   470.0000     0.0001    73.5517    30.1246   119.7820   -85.3888   -83.7228  -101.0470
