#         t          m          x          y          z         vx         vy         vz
   310.0000     0.0001  -129.7930   125.3580   -55.5251  -115.8000   153.3850    40.2977
   310.0000     0.0001   -86.0573   150.5040   -54.8339    34.9716   148.0090   -17.7666
   310.0000     0.0001   -75.3367   147.7870   -52.1587   108.7370   159.2410   -36.1461
   310.0000     0.0001  -130.7810   135.5650   -48.6577   -92.3666   190.8160    61.9384
   310.0000     0.0001   -90.8529   145.8620   -60.3558   -15.8550   157.2580     1.7292
   310.0000     0.0001  -138.1490   133.9330   -59.0092  -134.8900   194.0470    21.6552
   310.0000     0.0001   -73.9010   145.2620   -55.7017   128.0350   120.7050     0.5546
   310.0000     0.0001  -137.2840   131.4920   -62.1806  -161.9190   207.5020    25.3692
   310.0000     0.0001  -131.5810   131.4350   -51.3171   -99.0628   155.7940    49.7261
   310.0000     0.0001   -91.4138   143.9710   -59.2030     0.0364   135.3770   -30.0352
   310.0000     0.0001   -89.7252   150.9870   -54.0858    40.6717   146.3240   -46.0544
   310.0000     0.0001   -68.2618   154.6140   -49.4417   172.7450   113.7090   -35.9678
   310.0000     0.0001   -92.3729   144.6690   -56.1533   -15.2634   157.8170   -14.7714
   310.0000     0.0001  -132.7080   126.4800   -64.0256  -104.6020   155.6950    14.6922
   310.0000     0.0001   -92.3036   147.5930   -54.3564    35.5262   126.1440   -63.6760
   310.0000     0.0001   -85.6759   140.6590   -59.1465    24.7850   145.5120   -18.5111
   310.0000     0.0001   -87.7530   149.1840   -55.1980    32.2143   154.3300   -41.6890
   310.0000     0.0001  -133.0220   133.4520   -52.3675   -94.3371   161.8110    46.6473
   310.0000     0.0001   -92.2296   146.3150   -53.9715    48.0289   103.6610   -40.8199
   310.0000     0.0001   -91.8715   147.2280   -53.5286    26.6163   152.7440   -38.8287
   310.0000     0.0001   -92.5014   148.1450   -59.6897   -24.9692   155.1150   -47.3781
   310.0000     0.0001  -132.1800   135.4970   -51.2113   -99.8579   176.5940    56.9573
   310.0000     0.0001   -67.4226   154.0180   -48.3341   176.1140   108.8780   -14.8707
   310.0000     0.0001  -131.3520   134.3390   -51.0968   -76.8053   191.8900    55.7326
   310.0000     0.0001   -90.7233   142.7790   -55.0268    12.9525   147.1500   -22.3029
   310.0000     0.0001  -129.9330   129.5180   -50.5413   -84.0726   173.0480    38.4884
   310.0000     0.0001   -76.2087   151.0590   -54.3335   120.4600   114.0510   -19.6794
   310.0000     0.0001   -79.2734   168.2740   -50.9514    92.3255   120.3370     5.4896
   310.0000     0.0001   -91.8349   144.5760   -52.7396    53.4768   114.7180   -45.5371
   310.0000     0.0001   -87.6212   146.0600   -58.0422    30.9387   158.0870   -45.8976
   310.0000     0.0001   -94.6614   152.8120   -51.1961    21.5901   150.7180   -18.5140
   310.0000     0.0001  -136.8520   125.2300   -63.7199  -129.6570   162.8350    22.5417
   310.0000     0.0001  -138.2520   114.5080   -62.8933  -201.0640   159.8450    28.1970
   310.0000     0.0001   -91.7535   143.5590   -54.6131   -15.7538   167.8270   -13.1716
   310.0000     0.0001  -129.5750   136.3570   -48.8369   -58.2980   176.8870    41.7400
   310.0000     0.0001   -90.8529   145.8620   -60.3558   -15.8550   157.2580     1.7292
   310.0000     0.0001   -88.6017   146.2050   -52.1983    48.1222   129.4780   -54.1588
   310.0000     0.0001  -132.4890   133.2620   -53.4325  -111.4980   167.5950    62.6364
   310.0000     0.0001   -86.6351   146.3620   -58.4819    31.3508   141.3580   -26.1492
   310.0000     0.0001   -91.2629   143.3030   -56.1099     9.1840   140.1740   -33.8338
   310.0000     0.0001   -89.4958   143.6300   -56.3740    -2.1544   154.6650    -0.9472
   310.0000     0.0001   -91.7867   140.4490   -59.5537    -4.9304   159.7630   -29.2695
   310.0000     0.0001  -119.5070   119.2320   -59.2568  -120.3010   189.5100    30.9094
   310.0000     0.0001   -82.2810   162.0640   -48.0463    59.1372   166.8080   -18.9292
   310.0000     0.0001  -140.9370   122.0770   -71.3800  -196.2200   169.5820   -10.7080
   310.0000     0.0001   -88.3185   144.8370   -60.3560    24.9360   149.0740   -63.3357
   310.0000     0.0001  -132.5870   130.9490   -54.3586   -90.1713   162.6870    47.0622
   310.0000     0.0001  -130.6130   137.9800   -52.4859   -56.5887   153.1080    40.7629
   310.0000     0.0001  -132.5970   137.0670   -50.9325   -89.0680   184.4420    52.6945
   310.0000     0.0001   -65.3229   167.1530   -49.1836   132.2980   128.6740    11.0285
   310.0000     0.0001   -85.1449   141.1840   -53.6112    76.4215   119.9340   -51.9189
   310.0000     0.0001  -136.0690   136.1180   -58.8692  -135.9760   192.0400    30.1408
   310.0000     0.0001   -91.6385   141.2640   -57.7448   -26.6958   170.8000    -5.6519
   310.0000     0.0001  -131.9720   132.2890   -51.4414   -96.0604   167.0850    45.5610
   310.0000     0.0001   -91.8032   142.6710   -61.9787    -8.7642   151.8970   -65.6527
   310.0000     0.0001  -131.4560   135.6920   -55.5025  -116.8280   192.7190    61.0263
   310.0000     0.0001   -92.3673   148.7100   -55.6413    52.4766   101.5880   -43.7739
   310.0000     0.0001  -124.8910   120.1710   -60.7703  -143.6610   208.4480    16.5255
   310.0000     0.0001   -86.7287   149.5890   -55.8534    29.4377   158.0960   -27.5310
   310.0000     0.0001  -136.2790   134.3920   -57.5170  -128.0210   185.8390    30.2490
   310.0000     0.0001  -129.1410   128.9410   -54.4012   -61.5684   180.8300    30.9619
   310.0000     0.0001   -91.9168   141.8380   -53.8306    42.0108    99.5804   -32.8052
   310.0000     0.0001   -91.8715   147.2280   -53.5286    26.6163   152.7440   -38.8287
   310.0000     0.0001  -128.5360   127.8920   -55.2438   -83.7544   180.3930    28.6360
   310.0000     0.0001   -93.0569   145.9610   -54.5176   -22.4334   159.3700   -30.7430
   310.0000     0.0001   -78.7238   154.6020   -50.9903    93.6278   145.2520    14.8628
   310.0000     0.0001   -91.2389   141.1500   -60.4803   -14.4852   131.7430    -7.8140
   310.0000     0.0001   -84.0788   144.8530   -56.7284    41.8084   121.7340     4.3937
   310.0000     0.0001  -131.4340   123.1150   -57.5690  -116.6030   169.3750    53.4876
