#         t          m          x          y          z         vx         vy         vz
   300.0000     0.0001  -110.1230    99.7050   -64.3123  -225.7490   102.7390     6.6437
   300.0000     0.0001   -81.7333   141.6790   -44.7341    20.4982   164.4970   -50.5761
   300.0000     0.0001   -87.5452   127.8700   -42.0543   -25.7687   108.0290   -14.5307
   300.0000     0.0001  -107.5570    84.9266   -58.7706  -246.0460    78.7731   -19.5310
   300.0000     0.0001   -82.8675   147.5010   -46.5171   -22.5313   178.5360   -46.2786
   300.0000     0.0001  -103.4650    95.8833   -64.3265  -300.4810   105.1920   -52.5571
   300.0000     0.0001   -84.4938   126.0780   -45.1841   -85.7501   153.2420   -61.5271
   300.0000     0.0001  -103.7630    98.2588   -62.5816  -285.4860   110.3570     4.9141
   300.0000     0.0001   -77.6575   130.6640   -44.7690   -84.0143   174.7210   -57.9041
   300.0000     0.0001  -108.5360   103.7790   -61.9862  -282.7640   129.1890   -31.6310
   300.0000     0.0001  -109.5560    89.6191   -62.8659  -248.1690    73.3526   -30.1814
   300.0000     0.0001  -103.8060   100.8340   -63.5621  -221.7900    91.1956   -10.6340
   300.0000     0.0001   -86.0241   128.7800   -42.6081   -14.0526   133.7650   -31.2669
   300.0000     0.0001  -108.1900    89.3004   -62.5024  -233.6740    85.2835   -11.3386
   300.0000     0.0001  -109.7880    93.1565   -63.4982  -245.4810    83.7859   -26.4491
   300.0000     0.0001   -82.4517   123.1100   -45.7089   -66.6914   133.2910   -88.6615
   300.0000     0.0001   -81.7810   124.6020   -50.0988   -83.7430   151.3750   -74.4687
   300.0000     0.0001   -83.4752   134.9850   -44.7261     7.6979   143.3900   -46.7938
   300.0000     0.0001   -82.8402   128.5070   -43.9557   -15.9985   121.0510   -22.2894
   300.0000     0.0001   -85.0634   126.7020   -46.4700  -135.8540   150.9860   -79.8440
   300.0000     0.0001  -111.3580   104.3210   -65.7182  -246.0630   106.7030   -20.0573
   300.0000     0.0001  -112.2080   104.7310   -56.5553  -208.6370   138.7870     7.2553
   300.0000     0.0001   -82.7215   128.5540   -48.7367   -91.1866   147.7650  -105.8150
   300.0000     0.0001   -79.6466   153.5720   -46.6660     1.7458   193.8230   -18.7810
   300.0000     0.0001  -111.2200   103.1030   -60.6494  -265.8790   142.0850   -18.4221
   300.0000     0.0001   -82.8402   128.5070   -43.9557   -15.9985   121.0510   -22.2894
   300.0000     0.0001   -84.4359   134.0230   -51.1086  -116.5990   135.5280   -59.7044
   300.0000     0.0001  -111.5710   107.6180   -61.1472  -274.2040   115.3920   -14.3175
   300.0000     0.0001   -80.8288   125.2710   -42.9980   -63.0341   138.6620   -66.2008
   300.0000     0.0001   -87.8888   128.4190   -45.4682  -108.6420   156.0010   -47.7985
   300.0000     0.0001   -80.0086   122.4630   -53.9250   -88.3592   107.9660   -88.1429
   300.0000     0.0001   -80.7859   126.8570   -48.0411  -137.1090   168.2980   -76.8219
   300.0000     0.0001   -95.6169    98.2149   -50.0809  -248.1180    92.6790    -6.5701
