#         t          m          x          y          z         vx         vy         vz
   395.0000     0.0001     8.3380   210.6460    34.7401   -81.0349   102.9160   -69.0205
   395.0000     0.0001    34.4568   197.2650    70.5021    53.9994  -215.5710    58.5469
   395.0000     0.0001    79.4132   220.1580    93.2121   129.5860  -163.9270   156.5870
   395.0000     0.0001     8.7393   221.4690    26.3624  -119.2470    61.4241   -64.9422
   395.0000     0.0001    -9.5402   248.1810    33.8261   -55.7510    16.5564   -22.8401
   395.0000     0.0001    93.0615   216.6730    96.9499   169.1730  -162.4320   189.4790
   395.0000     0.0001    -9.0843   122.4770    -1.4812  -190.4900   -51.4121  -136.1600
   395.0000     0.0001    25.1429   209.1450    75.4217    44.4044  -160.6350    69.8667
   395.0000     0.0001    29.1331   229.6360    89.2652    74.6284   -95.1881   102.7230
   395.0000     0.0001   100.3230   236.6100    58.8550   265.1600  -141.9870   141.8390
   395.0000     0.0001    48.2641   304.2710    31.5144   265.9340   -32.5597   105.1180
   395.0000     0.0001   -21.8277   101.1340   -14.5469  -205.3950    96.4215  -118.0970
   395.0000     0.0001    49.5513   284.2450    35.4281   283.7960   -22.4589   140.6110
   395.0000     0.0001   -36.1265   102.6180   -16.6528  -193.0340   171.3120   -73.9040
   395.0000     0.0001    83.4521   213.2260    98.3386   145.0010  -155.5660   146.8710
   395.0000     0.0001    19.5554   216.8990    85.1532    40.0646  -126.6130    87.1925
   395.0000     0.0001    84.8866   230.5510   113.5580   172.4470  -118.1300   214.4500
   395.0000     0.0001    21.0796   189.4630    71.7499    -0.9783  -163.8130    30.7943
   395.0000     0.0001    87.9975   288.2480    53.6617   260.3650   -67.6537   120.2450
   395.0000     0.0001    29.2155   217.1660    69.0775    34.7941  -147.6880    60.7139
   395.0000     0.0001   -12.2482   256.7350    26.5518   -28.1691    -2.2297   -29.3962
   395.0000     0.0001    99.4349   228.8410    88.8260   204.2930  -136.8130   180.8160
   395.0000     0.0001    83.6069   228.0790   105.2650   169.6040  -129.9250   183.7280
   395.0000     0.0001    87.0475   209.2620    93.7234   143.4250  -183.2410   220.5090
   395.0000     0.0001    90.2599   203.4030    97.4861   162.6710  -181.3490   178.7410
   395.0000     0.0001    90.2002   227.2410   103.0700   150.8030  -126.4020   189.5610
   395.0000     0.0001    86.5386   219.2100   100.0650   166.3430  -151.0170   173.0630
   395.0000     0.0001    97.0606   237.6610    86.5033   213.9250  -128.9830   181.7740
   395.0000     0.0001   -48.9949   352.6380    11.9390   201.9490    94.0879    84.5414
   395.0000     0.0001    87.5310   205.5400    96.6631   145.4770  -180.2900   170.7610
   395.0000     0.0001    85.0748   219.4710    84.5589   116.6980  -164.8400   181.2680
   395.0000     0.0001    81.6635   216.1790    95.1550   165.0970  -138.4280   138.2640
   395.0000     0.0001    79.1110   216.4070    94.8434   176.3650  -176.2520   195.1780
   395.0000     0.0001    89.9338   226.3810    80.6643   163.8630  -167.7620   193.1810
   395.0000     0.0001   -30.1067   101.6740   -11.4885  -160.3840    99.1879  -161.6130
