#         t          m          x          y          z         vx         vy         vz
   460.0000     0.0001    46.7582    65.2064    52.8668  -130.3790   -69.2263  -163.4030
   460.0000     0.0001   202.3210   102.8240   202.4850    52.6040  -155.2080    74.2674
   460.0000     0.0001    56.9591    66.6249    74.5693  -150.2840   -86.6561  -205.6840
   460.0000     0.0001    93.2691    67.0478   125.0760   -80.4566  -119.9320   -81.5377
   460.0000     0.0001    29.3708    92.0420    54.5125   -63.4796    11.8997  -233.4560
   460.0000     0.0001    47.7271    72.8610    92.2338  -148.7600   -92.2819  -173.5780
   460.0000     0.0001    24.4447   122.4560    -0.2130  -174.2360   -34.7566  -330.0470
   460.0000     0.0001   169.4840    66.2754   225.5640    29.4384  -141.1730    58.6090
   460.0000     0.0001    76.8544    81.5436    87.2755   -63.5887   -79.2165  -201.5520
   460.0000     0.0001    27.2619    99.4338    18.9422  -109.5540    86.1748  -298.5010
   460.0000     0.0001   -24.2800   154.8520   -60.2682   -38.1711    75.9591   -41.2306
   460.0000     0.0001   130.7000    63.3174   151.7370   -21.5671  -141.2640   -37.1166
   460.0000     0.0001    36.5159    91.4984    61.4304   -59.4729    25.2753  -206.3230
   460.0000     0.0001   -65.2034   158.9610   -30.5983   -66.4618    58.7068     5.8491
   460.0000     0.0001    40.8410    81.2489    74.2837   -58.6217   -51.7996  -231.2940
   460.0000     0.0001    29.9050    74.1606    61.3848   -49.1777   -15.1419  -190.2470
   460.0000     0.0001   105.6230    71.8843   164.4170   -34.4887  -114.8420   -41.8560
   460.0000     0.0001    77.6536    74.1965    84.2300  -118.4070   -93.6074  -170.1080
   460.0000     0.0001    31.5488    85.8002    45.6553  -122.9950    21.7691  -173.0650
   460.0000     0.0001    22.1127   110.3480    -0.5299  -107.0720   181.7560  -225.0890
   460.0000     0.0001    12.9912   148.1810    -2.3752   -92.0025   254.3230  -138.7460
   460.0000     0.0001    31.8137   148.6460    71.9909    36.5389   -52.5267    31.4685
   460.0000     0.0001   102.0320    74.9646    29.9146   212.7730   -54.9787   107.0280
   460.0000     0.0001    43.1428    99.5576    50.1368   -90.3686   -18.7434  -269.6290
   460.0000     0.0001    84.4780    77.5870    52.3803   186.9070   -95.3818   159.4810
   460.0000     0.0001    23.6317   115.9360     7.0231   -43.1669   215.2420  -271.7790
   460.0000     0.0001    48.3687   103.7540   -84.6785    59.3303   -78.0491  -193.5700
   460.0000     0.0001    32.0489    78.1761    40.6101   -93.1567    -0.0348  -237.5060
   460.0000     0.0001   -44.4640   133.8410  -105.5040     3.2555   -25.1283    -0.5711
   460.0000     0.0001    32.2249    86.2689    30.0027  -118.0590    29.8160  -213.8730
   460.0000     0.0001    38.6613    76.1623    43.0350  -124.5870    -7.7460  -213.9540
   460.0000     0.0001   -40.3569   142.6490   -81.7371   -30.8577    26.9633   -22.3551
   460.0000     0.0001    65.0986   120.6760   -62.9668   104.1040   -28.4542  -159.9270
   460.0000     0.0001    68.3079   380.1850    72.9654   197.9870   -24.8379    75.0966
   460.0000     0.0001    35.8451    66.5347    61.1307   -98.3117   -42.4073  -213.5210
   460.0000     0.0001    33.4659    92.3633    45.7644  -107.3710   -14.3703  -261.2100
