#         t          m          x          y          z         vx         vy         vz
   370.0000     0.0001    -1.5437   201.8790    -0.5222   121.4760    81.2312   197.3990
   370.0000     0.0001     8.2197   260.5820     5.8961   363.2710   -52.4860   175.5590
   370.0000     0.0001  -251.3150   156.2190   -64.4787   -41.1651   119.3570    30.2326
   370.0000     0.0001    -5.0304   249.5450    12.4396   283.1200   106.4000   313.9180
   370.0000     0.0001    -1.5803   242.1000    11.5751   241.0530   132.6930   333.3460
   370.0000     0.0001     0.8003   213.8750     8.4942    92.9700   141.4580   226.1850
   370.0000     0.0001     9.5908   184.0210     4.8457   111.3240    56.5514   107.6860
   370.0000     0.0001    18.3016   263.2890    14.4972   272.6340   -80.8656   189.7160
   370.0000     0.0001    13.1340   260.3010    16.0341   253.4720   -18.4172   251.3920
   370.0000     0.0001  -139.2210   283.5230   -12.1450   124.5490   159.6060    79.9838
   370.0000     0.0001     8.0397   197.5330    13.1657    59.3707    91.7688   171.5470
   370.0000     0.0001     8.0583   250.0590     6.2573   181.8790    18.4234   256.7610
   370.0000     0.0001   -68.9215   303.6500     2.7205   216.5260   125.8120    95.0795
   370.0000     0.0001     8.0583   250.0590     6.2573   181.8790    18.4234   256.7610
   370.0000     0.0001     6.7662   251.7260    26.2026   288.4000   -33.1781   243.7150
   370.0000     0.0001    14.2561   257.1260    16.8347   255.2020   -83.7076   198.8920
   370.0000     0.0001    21.5326   260.9370    19.3705   216.4670   -80.1111   223.9130
   370.0000     0.0001     1.6657   239.4800    15.3447   167.5180   -25.2411   346.7510
   370.0000     0.0001     2.1651   210.6030     8.9803    86.9388   130.4300   224.8240
   370.0000     0.0001    14.8382   252.1090    14.5277   274.8660   -21.0019   268.4100
   370.0000     0.0001    10.1739   260.7270    16.5784   303.0480    17.2694   229.4570
   370.0000     0.0001     2.0038   251.8380    24.5267   263.9800    -1.5587   298.3210
   370.0000     0.0001     0.8895   256.3820    22.2861   271.4450    20.4586   273.5110
   370.0000     0.0001    -4.5060   251.2110    18.2969   302.8930    57.2384   304.2340
   370.0000     0.0001    15.0946   248.2710    29.7665   133.1510   -34.1338   274.8630
   370.0000     0.0001    14.2775   258.9990    11.9214   290.6820   -23.6561   206.3940
   370.0000     0.0001     3.7883   177.2040    -3.1560   124.1710    11.0408   127.9750
   370.0000     0.0001     2.9429   253.5600    24.2781   287.0000   -10.9493   255.0900
