#         t          m          x          y          z         vx         vy         vz
   495.0000     0.0001    51.6602   166.2340     8.8710   112.9630    99.1432   133.4750
   495.0000     0.0001     0.7272   163.1430   -30.3666    40.5831   228.0760   -16.1760
   495.0000     0.0001   161.0160    -3.8326   238.9670    -1.1271  -117.6000    -3.7696
   495.0000     0.0001    11.8899   159.1720    -3.9920    92.8021   103.5890    79.7164
   495.0000     0.0001    -9.5319   122.4900   -22.9274   113.3630    -7.1717   181.5360
   495.0000     0.0001    13.5128   149.7090   -49.0637    12.6028   262.6430  -112.6530
   495.0000     0.0001     1.5525   183.4730   -21.9658    82.0943   -32.9279   146.8630
   495.0000     0.0001    34.2720    53.2944    34.4595  -111.9730   127.3650   -65.1492
   495.0000     0.0001    41.6060   173.0250    -0.1794   121.0350   145.2260    46.6753
   495.0000     0.0001    32.7313   169.6310    -0.3229   105.1830    82.3166    85.4861
   495.0000     0.0001    46.5942   179.9180   -13.2777    81.6496   127.9830    48.4463
   495.0000     0.0001   173.5340    95.0181   204.4420   -25.2680  -104.0570   -26.6707
   495.0000     0.0001    -2.9418    40.5677    27.3258   -97.5397    82.5666  -187.8660
   495.0000     0.0001    42.4654   200.3280    28.9932    81.8862    36.0528   108.9870
   495.0000     0.0001    91.2087     9.9614   123.7900   -91.5924   -49.1640  -112.8000
   495.0000     0.0001    46.3419   155.5740    -2.2730    97.8294   127.7160    99.9598
   495.0000     0.0001    32.6928   156.6520   -15.6847    64.3670   143.0620     5.9537
   495.0000     0.0001    29.9153   168.2510    -1.6967    32.7191   185.1440    58.8215
   495.0000     0.0001    19.9665   185.0570    -7.0895    61.3061    88.0291   103.3570
   495.0000     0.0001    16.0459   133.7070   -38.9967    31.3897   224.5820   -27.7448
   495.0000     0.0001    17.8307    88.6685   -23.1973  -134.3860   168.5300  -131.2010
   495.0000     0.0001    -9.6996   157.0090   -45.5396   -54.2743   231.8340   -51.8368
   495.0000     0.0001     4.8803   164.1510   -47.3194   -31.1249   206.1080   -48.3306
   495.0000     0.0001    -3.2530   160.3060   -41.7539    11.8961   237.9950   -51.0789
   495.0000     0.0001   123.5490    81.5085    93.4050   -14.3436    84.3144    36.8129
   495.0000     0.0001    32.0482   152.8560    -7.8103    34.0618   140.3850    68.2452
   495.0000     0.0001   238.5480    17.0504   237.8520    20.5732  -134.8670    34.0272
   495.0000     0.0001    20.8032   143.3730    -4.8891    61.4759   151.6380    74.4501
   495.0000     0.0001    -1.7302   152.8180   -37.2593   -22.9363   237.3450   -14.5521
   495.0000     0.0001    69.6752    38.4088    76.0074   -65.5563   -46.5241  -102.2760
   495.0000     0.0001    16.4370   144.9130   -48.6047    61.4312   239.2860  -103.8230
   495.0000     0.0001   106.6650     8.7928   173.3850   -43.6300   -78.7323   -85.0248
   495.0000     0.0001    -1.8198   165.8850   -38.8882    17.7915   250.6820   -50.4150
   495.0000     0.0001    67.3345    24.4271    95.6354   -90.2334   -42.4030  -180.8200
   495.0000     0.0001   261.9390   178.7750   128.4760    81.6337  -167.8590    36.6762
   495.0000     0.0001    29.8412   142.0750   -11.5123    79.7071    96.4286    62.7859
   495.0000     0.0001     4.1871   137.9060   -35.5032    18.6483   261.8490   -76.1712
   495.0000     0.0001    36.5264   167.9650   -11.6329    54.5403    95.0107    74.4316
   495.0000     0.0001    79.8845    14.8629   108.3970  -103.9430   -40.0011  -133.1710
   495.0000     0.0001    35.8387   155.2570   -13.5809    92.0017   135.3920    17.0320
   495.0000     0.0001   -32.2589   157.0090   -42.2131    79.2122    -7.3198   123.6640
   495.0000     0.0001     4.3425   153.8480   -41.5277   -13.8454   203.4150   -16.9578
   495.0000     0.0001     3.5964   154.2560   -34.4882    42.6840   188.7930    14.0517
   495.0000     0.0001    -1.3637   154.4710   -37.4572    26.2979   238.6400   -44.8803
   495.0000     0.0001     1.7865   155.2850   -37.7728    11.1351   190.8080     6.4543
   495.0000     0.0001   239.5130    28.7506   140.9220   -20.9537  -143.0580     9.1232
   495.0000     0.0001     2.7304   145.3170   -34.2048    34.8389   241.0330   -52.4964
   495.0000     0.0001    39.3952   148.4760    12.0149   125.1880    76.4337   179.3710
   495.0000     0.0001    37.1480   120.1990    37.6315   -33.8150  -158.7070    96.8956
   495.0000     0.0001    13.6717   183.3340    -9.8294    29.8329    95.2697    80.9045
   495.0000     0.0001    32.0569   161.5440    -4.1386   135.0530    85.7745    85.0204
   495.0000     0.0001   299.4060   230.5000   169.4140   105.8750  -122.8280    59.6201
   495.0000     0.0001   -33.9164     0.0342    31.5675    -1.7290   -72.2302    19.4385
   495.0000     0.0001    31.1955   144.1950    -8.4078    82.2869   163.0470    64.4837
   495.0000     0.0001    89.3072    32.0550    83.1000   -68.7479   -90.3359   -60.2092
   495.0000     0.0001   196.8940     3.8447   249.2900     8.1240  -119.3630    14.6780
   495.0000     0.0001    25.8384   119.1940   -25.1117   -91.4413   198.9270  -136.5620
   495.0000     0.0001    78.8578    29.4825    55.5650  -112.7850    17.6148  -185.3950
   495.0000     0.0001     6.5060   170.9670    -5.7100    54.5297   104.3300    77.8584
   495.0000     0.0001    37.7530   177.4260     4.7946    60.5285    95.4476    98.1496
   495.0000     0.0001   110.1190   118.0060    33.6937    94.9698  -112.5900    79.9544
   495.0000     0.0001    46.8608    30.3485    77.3446  -112.8030    16.5720  -183.6290
   495.0000     0.0001    37.5804   155.0980   -16.5891    60.8503    98.0778    72.4100
   495.0000     0.0001    -2.9208   174.2860   -24.0908   101.9480   -47.2392   157.3580
   495.0000     0.0001    32.5682   162.0550    -2.6915    50.7469    83.3603   112.7770
   495.0000     0.0001    33.9554   153.1370   -14.9687    12.9322   135.4530    63.5081
   495.0000     0.0001    13.9336    17.1974    57.9178  -109.2660    18.5955  -173.3000
   495.0000     0.0001     1.3316   159.9160   -30.8362    37.5290   228.9230     4.5735
   495.0000     0.0001    38.2918   169.5270    -0.8046    52.9926   115.1060    96.9083
   495.0000     0.0001     7.6044   153.5080   -39.1481    48.7220   221.9240   -13.9291
   495.0000     0.0001    -5.0762   149.9630   -29.9668    16.6959   125.5100    70.5724
   495.0000     0.0001    -7.1954   193.6780   -10.0096    44.9102    68.1780   114.4670
   495.0000     0.0001    -4.1493   168.5070   -40.3838   -47.4617   251.7060   -34.7066
   495.0000     0.0001    17.9728   147.2830   -45.2201    68.2868   247.5400  -154.0550
   495.0000     0.0001     0.6031   112.3280   -36.4718   -80.7171   206.3760  -128.6580
   495.0000     0.0001   303.8350   114.2060   154.6170    59.2914  -144.3120    38.9886
   495.0000     0.0001    46.7562   161.3010     2.0608   111.5250    90.1764   134.5340
   495.0000     0.0001    74.2833    27.0886    93.7660  -112.9020   -25.8928  -161.1280
   495.0000     0.0001    35.6393   159.2760    -8.7675    93.1741   208.4940    42.1327
   495.0000     0.0001    33.4053   157.7990    -9.3340    91.7025   200.8750    28.7888
   495.0000     0.0001     7.6223   129.4790   -37.1099    -0.6969   227.2100   -59.4186
   495.0000     0.0001    61.1180   165.2560     4.9619   -29.6573  -121.7760   226.8560
   495.0000     0.0001   148.1090    65.7999     8.4331    52.0277   -20.1951    44.4864
   495.0000     0.0001    -6.3803    55.3727    22.2254   -87.1690   109.9040  -194.9320
   495.0000     0.0001    45.9168   171.5400     0.7580    75.9401    92.9506   110.2190
   495.0000     0.0001    82.1779    65.7432    79.4474   -91.4700   -45.0618  -244.8480
   495.0000     0.0001    16.3444   167.9490     9.1492    46.9587    92.9761   140.2300
   495.0000     0.0001     7.9069   140.8000   -55.5040   -18.2443   242.3950  -139.5080
   495.0000     0.0001   -13.1521   105.6320   -47.7718   -53.6269   188.6450  -115.1780
   495.0000     0.0001   261.9620    41.0267   212.1560    31.1566  -145.9460    45.2971
   495.0000     0.0001   156.1960    60.8534   116.0370    42.4191    46.6497    69.5369
   495.0000     0.0001    15.3273   142.6890   -48.6526     0.8808   237.7140  -155.7770
   495.0000     0.0001    65.3256    34.7136    80.1548   -49.6361   -57.0928   -93.2292
   495.0000     0.0001    49.1112   172.6280     4.3534   103.4530    90.5559   106.6550
   495.0000     0.0001    -4.8717   153.6490   -43.0173     6.4592   237.7280   -64.1654
   495.0000     0.0001    45.9748   155.7670    10.7460   108.2080    80.6145   165.8500
   495.0000     0.0001    72.6536    28.5969   104.2190  -108.6200   -30.6189  -155.1930
   495.0000     0.0001     1.5016   117.6670   -26.0455   -54.4337   224.2640  -141.6640
   495.0000     0.0001   111.4290     0.5358   185.4820   -33.1149   -85.0974   -71.1311
   495.0000     0.0001    13.9664   145.7740   -45.4739    48.4128   250.3660  -152.5860
   495.0000     0.0001    20.4589   162.5560     5.9097    65.4680   163.0580    81.7631
   495.0000     0.0001   105.5030    68.4137   109.3430    20.2819   114.6980    23.8668
   495.0000     0.0001    46.9545    69.2963    55.3928   -71.8635    33.1617  -305.2010
   495.0000     0.0001    29.9449   144.0150   -24.9346    41.6482   159.6170    13.8211
   495.0000     0.0001    34.4342   162.7020   -17.7200    33.7264   104.7840    68.9158
   495.0000     0.0001    26.0507    94.1861   -25.9544  -122.3390   190.4520  -136.0590
   495.0000     0.0001   123.6370   -19.2754   204.6280   -26.5023  -101.0810   -39.4213
   495.0000     0.0001    63.3224   145.9860    58.5148    50.1835    68.1043  -316.2280
   495.0000     0.0001    10.9632   153.9590   -60.1035    35.7096   214.7690   -97.7766
   495.0000     0.0001     9.5647   139.8420   -55.8852    -3.9104   247.5540  -134.8480
   495.0000     0.0001     3.8623   128.6260   -43.9892     8.4874   233.6540  -125.6810
   495.0000     0.0001    14.9853    55.5017    30.5866   -70.9526   129.6610  -217.4910
   495.0000     0.0001    24.2057   159.3010    -3.1417    41.3994    79.2313   102.0050
