#         t          m          x          y          z         vx         vy         vz
   635.0000     0.0001    71.4337    35.7428   -10.6422    14.1996   146.6660   -68.6227
   635.0000     0.0001   117.6030    85.8821    92.6419   333.4280   -46.7806   391.9690
   635.0000     0.0001   138.7530    59.6688   116.6260    39.0260   344.1070    75.1641
   635.0000     0.0001    98.0548   -26.4500    66.8452  -101.5720   -56.9321  -150.3210
   635.0000     0.0001   188.3210   191.6100   131.8820    51.0455  -114.1430   192.4680
   635.0000     0.0001   111.4110   101.6030    65.4585   109.9440    89.3741   264.6870
   635.0000     0.0001   153.3370    29.1839   141.4590    24.3442  -113.2570   -34.9365
   635.0000     0.0001   156.5790   185.7340   141.9440   126.4920  -177.5570    91.5168
   635.0000     0.0001   104.8880   257.4510    16.4156    76.1614    43.8538    92.5906
   635.0000     0.0001    41.0311   -30.4385   -22.7780   -66.5209     7.1201  -125.3090
   635.0000     0.0001   133.5830    83.4231   119.1380    89.5775  -250.8820   107.7850
   635.0000     0.0001    42.2524    20.9497   -29.0392   -32.8849    84.9642   -91.4402
   635.0000     0.0001   140.6400   207.9940   155.0680    56.2619  -209.1010    78.6508
   635.0000     0.0001   118.2750    96.9803    97.0822   245.4850  -131.2020   294.7830
   635.0000     0.0001   121.8200    94.1428   110.8760   223.6290  -175.8040   295.3000
   635.0000     0.0001    42.4053    17.8644    -3.2923   -23.8759   101.5970   -52.9277
   635.0000     0.0001   159.1310    39.3249   139.4480   -96.5184  -270.9610  -110.4290
   635.0000     0.0001   109.4380   -36.0073    74.2197   -92.1200   -72.5281  -151.4840
   635.0000     0.0001   106.0620   112.5050    74.7004   134.1040   108.6750   151.1330
   635.0000     0.0001   103.4500   -64.8447    31.5889   -37.9848   -52.4928  -131.9720
   635.0000     0.0001   107.0170    77.6585    64.0418   275.9500   293.1300   155.5870
   635.0000     0.0001   146.6390   272.4740   111.5270    94.8727  -122.9130   115.8130
   635.0000     0.0001   176.0790   111.4770   141.7660     6.5380  -299.8110    37.9622
   635.0000     0.0001   146.8510    81.4059   124.7550   228.8840  -199.8530   190.8420
   635.0000     0.0001    88.1148    66.2917    24.1346    86.1038   158.1190    33.7490
   635.0000     0.0001   156.3020    56.2748   136.2340   -48.0874  -101.4270  -100.1780
   635.0000     0.0001   250.4940   115.9180    87.6680   -77.6199   -42.3889     9.0102
   635.0000     0.0001   111.7970   118.2930    79.7166   125.3090    50.1474   163.1700
   635.0000     0.0001   261.7460   -47.4736   127.6160  -139.7680  -134.9240   -43.9391
   635.0000     0.0001   108.3760    98.7705    77.9946   186.3710    20.2804   335.3550
