#         t          x          y          z         vx         vy         vz
   375.0000    29.2700    37.9100    41.4900     0.0000     0.0000     0.0000
   380.0000    33.9400    48.6800    45.3700     0.0000     0.0000     0.0000
   385.0000    38.3000    55.4500    52.1200     0.0000     0.0000     0.0000
   390.0000    45.4000    68.6600    60.2800     0.0000     0.0000     0.0000
   395.0000    49.5200    85.9400    69.8900     0.0000     0.0000     0.0000
   400.0000    60.7700   110.4500    80.0400     0.0000     0.0000     0.0000
   405.0000    81.3600   146.9400    98.8900     0.0000     0.0000     0.0000
   410.0000   196.9400   148.0200   134.9000     0.0000     0.0000     0.0000
   415.0000   120.0500    20.2200    64.6800     0.0000     0.0000     0.0000
   420.0000    50.9300    -6.6500    39.3400     0.0000     0.0000     0.0000
   425.0000     8.3400   -21.2900    22.2000     0.0000     0.0000     0.0000
   430.0000   -16.6500   -49.1600     4.7300     0.0000     0.0000     0.0000
   435.0000   -49.1900  -113.0900   -29.5100     0.0000     0.0000     0.0000
   440.0000    54.2900    -3.4400    28.9900     0.0000     0.0000     0.0000
   445.0000    34.1900    -4.6900    36.5800     0.0000     0.0000     0.0000
   450.0000    28.7500   -26.2800    31.7500     0.0000     0.0000     0.0000
   455.0000    36.4100   -34.5500    31.7500     0.0000     0.0000     0.0000
   460.0000    39.2000   -26.3500    45.6900     0.0000     0.0000     0.0000
   465.0000    41.9500   -26.7400    43.3000     0.0000     0.0000     0.0000
   470.0000    42.5100   -26.5100    40.8700     0.0000     0.0000     0.0000
   475.0000    36.6300   -34.2700    29.6700     0.0000     0.0000     0.0000
   480.0000    38.6300   -31.8700    29.3400     0.0000     0.0000     0.0000
   485.0000    39.8200   -34.3100    25.2900     0.0000     0.0000     0.0000
   490.0000    39.8400   -33.5300    30.6400     0.0000     0.0000     0.0000
   495.0000    33.6000   -34.7100    18.9200     0.0000     0.0000     0.0000
   500.0000    35.3400   -30.9700    14.2800     0.0000     0.0000     0.0000
   505.0000    33.5500   -28.0500    14.2700     0.0000     0.0000     0.0000
   510.0000    34.5700   -29.5900    14.5000     0.0000     0.0000     0.0000
   515.0000    37.7700   -25.9600    20.1100     0.0000     0.0000     0.0000
   520.0000    35.9600   -23.1300    20.6700     0.0000     0.0000     0.0000
   525.0000    38.2300   -23.1500    23.5000     0.0000     0.0000     0.0000
   530.0000    36.0400   -22.8300    25.8700     0.0000     0.0000     0.0000
   535.0000    34.1000   -20.8100    23.0700     0.0000     0.0000     0.0000
   540.0000    31.3300   -19.4700    23.3700     0.0000     0.0000     0.0000
   545.0000    33.5300   -16.2000    20.0500     0.0000     0.0000     0.0000
   550.0000    31.0400   -17.8900    19.4400     0.0000     0.0000     0.0000
   555.0000    31.7600   -19.8600    15.5300     0.0000     0.0000     0.0000
   560.0000    33.6200   -17.5400    19.8100     0.0000     0.0000     0.0000
   565.0000    34.1200   -18.3200    20.7500     0.0000     0.0000     0.0000
   570.0000    33.2600   -16.6700    23.8900     0.0000     0.0000     0.0000
   575.0000    34.7800   -16.0100    25.6600     0.0000     0.0000     0.0000
   580.0000    36.1300   -21.2500    31.1000     0.0000     0.0000     0.0000
   585.0000    37.2300   -20.5900    36.0900     0.0000     0.0000     0.0000
   590.0000    37.6200   -24.1700    32.4600     0.0000     0.0000     0.0000
   595.0000    33.6400   -27.7600    34.1400     0.0000     0.0000     0.0000
   600.0000    35.9300   -28.4300    29.8900     0.0000     0.0000     0.0000
   605.0000    32.5200   -32.7100    24.1100     0.0000     0.0000     0.0000
   610.0000    28.8400   -30.7500    25.2600     0.0000     0.0000     0.0000
   615.0000    31.8200   -27.4200    23.2600     0.0000     0.0000     0.0000
   620.0000    31.9200   -29.1000    20.8100     0.0000     0.0000     0.0000
   625.0000    31.5900   -27.0800    21.5400     0.0000     0.0000     0.0000
   630.0000    32.2700   -26.1200    19.7100     0.0000     0.0000     0.0000
   635.0000    29.2100   -24.3300    21.2200     0.0000     0.0000     0.0000
   640.0000    30.6300   -25.1600    21.1300     0.0000     0.0000     0.0000
   645.0000    29.7800   -25.4400    18.2000     0.0000     0.0000     0.0000
   650.0000    31.8700   -26.9000    18.8500     0.0000     0.0000     0.0000
   655.0000    31.6300   -26.8800    21.4000     0.0000     0.0000     0.0000
   660.0000    27.5600   -25.8300    21.1200     0.0000     0.0000     0.0000
   665.0000    25.0600   -21.0800    20.0600     0.0000     0.0000     0.0000
   670.0000    25.2100   -14.5800    22.2100     0.0000     0.0000     0.0000
   675.0000    29.2500   -13.0600    22.4200     0.0000     0.0000     0.0000
   680.0000    31.5800   -12.8500    22.7400     0.0000     0.0000     0.0000
   685.0000    33.2000   -14.2600    24.6400     0.0000     0.0000     0.0000
   690.0000    34.2600   -18.8500    25.1400     0.0000     0.0000     0.0000
   695.0000    32.7000   -20.0600    30.1200     0.0000     0.0000     0.0000
   700.0000    36.4100   -20.1800    31.5100     0.0000     0.0000     0.0000
   705.0000    33.2800   -19.1300    31.8500     0.0000     0.0000     0.0000
   710.0000    31.1800   -18.0600    33.3200     0.0000     0.0000     0.0000
   715.0000    33.6900   -18.7100    31.4600     0.0000     0.0000     0.0000
   720.0000    34.0700   -19.0900    30.0500     0.0000     0.0000     0.0000
   725.0000    36.0800   -19.2800    28.1600     0.0000     0.0000     0.0000
   730.0000    34.8100   -24.9400    28.0300     0.0000     0.0000     0.0000
   735.0000    33.4100   -31.3900    24.7800     0.0000     0.0000     0.0000
   740.0000    32.5200   -31.0700    18.6900     0.0000     0.0000     0.0000
   745.0000    29.4000   -30.2600    18.6500     0.0000     0.0000     0.0000
   750.0000    31.6800   -26.8900    16.7800     0.0000     0.0000     0.0000
   755.0000    27.0300   -22.8000    19.7900     0.0000     0.0000     0.0000
   760.0000    28.5700   -19.5700    18.9100     0.0000     0.0000     0.0000
   765.0000    28.4000   -17.7000    20.9100     0.0000     0.0000     0.0000
   770.0000    30.7500   -16.0100    24.2700     0.0000     0.0000     0.0000
   775.0000    32.4500   -17.3000    26.3000     0.0000     0.0000     0.0000
   780.0000    29.8600   -20.3700    27.4200     0.0000     0.0000     0.0000
   785.0000    29.2700   -18.9100    29.2200     0.0000     0.0000     0.0000
   790.0000    29.2200   -16.6900    27.4200     0.0000     0.0000     0.0000
   795.0000    30.4100   -19.3800    28.1700     0.0000     0.0000     0.0000
