#         t          x          y          z         vx         vy         vz
     0.0000  -476.2200   491.4400  -412.4100    45.3300   101.9800   142.0200
     5.0000  -472.9500   498.9500  -402.0400    48.2400   106.4300   147.1100
    10.0000  -469.3100   506.7600  -391.4200    58.5400   111.4200   150.7800
    15.0000  -465.0500   515.0300  -380.3000    63.1500   116.5700   159.9800
    20.0000  -460.2000   523.5100  -368.4700    71.8100   123.8000   170.8800
    25.0000  -454.6600   532.6700  -355.7800    81.3900   129.0400   183.4300
    30.0000  -448.1000   541.9600  -342.3600    96.3100   133.6400   191.1700
    35.0000  -440.9000   551.4300  -328.5300   108.4100   135.0300   202.8700
    40.0000  -432.4700   561.1200  -313.9800   130.0500   136.8900   210.5300
    45.0000  -422.3700   570.8700  -298.3500   153.8100   133.8700   222.6700
    50.0000  -410.4500   580.3400  -281.7000   177.9000   126.6500   235.1800
    55.0000  -396.7000   588.8600  -264.6400   205.4300   113.6700   242.9700
    60.0000  -380.9100   596.2600  -247.1700   236.4400    93.1900   247.5800
    65.0000  -362.7000   601.8000  -229.4100   263.4600    59.8000   245.4100
    70.0000  -343.3000   605.1100  -212.1100   280.1700    32.0200   237.2900
    75.0000  -323.0700   606.3400  -195.6100   287.8600     1.9900   220.2400
    80.0000  -302.6500   605.5200  -180.4500   286.5700   -25.1700   203.8900
    85.0000  -282.3000   602.7900  -166.4700   281.4400   -53.3300   186.6000
    90.0000  -262.5400   598.3600  -153.5600   271.2400   -68.6500   175.5400
    95.0000  -243.4000   592.9700  -141.3500   262.7200   -81.4300   164.1500
   100.0000  -224.8400   586.5600  -130.1600   256.6900   -96.4100   150.2800
   105.0000  -206.9700   579.3000  -119.8200   244.5600  -107.6000   139.3100
   110.0000  -189.8600   571.2900  -110.3500   237.0200  -115.5200   129.8700
   115.0000  -173.3000   562.8200  -101.4200   227.4400  -122.7900   119.6700
   120.0000  -157.3300   553.8000   -93.0800   217.6900  -131.0300   112.4300
   125.0000  -142.1700   544.2400   -85.4000   207.5400  -135.5600   104.8000
   130.0000  -127.6800   534.3800   -78.1900   199.0900  -141.7800    98.4600
